iter	RMSE
0	0.4645632633
1	0.457388078
2	0.4509646703
3	0.4457168382
4	0.4376007777
5	0.4327743573
6	0.4263391671
7	0.4223005685
8	0.4167851324
9	0.4123963828
10	0.406168667
11	0.3993131172
12	0.3951978301
13	0.3905727117
14	0.3859195914
15	0.3800646333
16	0.3758354786
17	0.3719764055
18	0.3682815278
19	0.3636132805
20	0.360124411
21	0.3553681586
22	0.3525877926
23	0.3494932023
24	0.3447686117
25	0.3389648055
26	0.3344576805
27	0.3317807568
28	0.3284774745
29	0.3258533801
30	0.3235571929
31	0.3211027986
32	0.3190194336
33	0.3161447844
34	0.3122888374
35	0.3089140388
36	0.3060315718
37	0.3025300414
38	0.3004288473
39	0.2974766709
40	0.2950820041
41	0.2919250325
42	0.288740785
43	0.2861024352
44	0.2841532686
45	0.2812746734
46	0.2796135268
47	0.2772526615
48	0.2754639796
49	0.2723831521
50	0.2685694135
51	0.2654780871
52	0.2618840074
53	0.2601879031
54	0.258492325
55	0.256079785
56	0.254789421
57	0.2531778997
58	0.2517382066
59	0.2497365652
60	0.2475305487
61	0.2458644075
62	0.244966442
63	0.2428596214
64	0.2413844988
65	0.2396402174
66	0.2375969645
67	0.2358185813
68	0.2332386989
69	0.2312929001
70	0.2300043298
71	0.2286672002
72	0.2272637777
73	0.2267586384
74	0.2260024034
75	0.2242809918
76	0.222522384
77	0.2217351916
78	0.2203845841
79	0.2178723346
80	0.2166174607
81	0.2156692023
82	0.2143592478
83	0.2133814043
84	0.2112782841
85	0.2110991317
86	0.2100542996
87	0.2094839482
88	0.2088045637
89	0.2081694063
90	0.2074722019
91	0.2066279159
92	0.2052500603
93	0.2044712736
94	0.2040519406
95	0.2030641223
96	0.2015218823
97	0.2006013633
98	0.1989574237
99	0.1974987216
100	0.1968152098
101	0.1960068961
102	0.1951800689
103	0.1946235917
104	0.1931206225
105	0.1921786241
106	0.1920359498
107	0.1915822567
108	0.1899770316
109	0.1895553551
110	0.1890084766
111	0.1883818137
112	0.1876463829
113	0.1871364059
114	0.1860827799
115	0.1844942754
116	0.1838691596
117	0.1830561664
118	0.1822628442
119	0.1818727901
120	0.1805353949
121	0.1800026246
122	0.1784390233
123	0.1776725664
124	0.1773267234
125	0.1768439384
126	0.1757587681
127	0.1747008335
128	0.1740936462
129	0.1734163638
130	0.172324431
131	0.1713026764
132	0.1700495511
133	0.1694879034
134	0.1693497596
135	0.1679365824
136	0.1673495208
137	0.1668630882
138	0.1664250816
139	0.165343618
140	0.1652597899
141	0.1644091158
142	0.1640549679
143	0.1631165898
144	0.1628969079
145	0.162453943
146	0.1617604709
147	0.1609431059
148	0.1604654468
149	0.1600511761
150	0.1596565152
151	0.1588390623
152	0.1582432345
153	0.1575712241
154	0.1573709312
155	0.1565888282
156	0.1560665433
157	0.1556305393
158	0.1552531963
159	0.1549453877
160	0.1546276554
161	0.1538103434
162	0.1529266309
163	0.1525888291
164	0.1516712859
165	0.1514077151
166	0.1502288712
167	0.1499432796
168	0.1494239593
169	0.1489929755
170	0.1481483172
171	0.1474336984
172	0.1469298418
173	0.1467936776
174	0.1461889391
175	0.145664935
176	0.1447491901
