Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
A Graphene-Supported Single-Atom FeN5 Catalytic Site for Efficient Electrochemical CO2 ReductionControlled Synthesis,10.1002/anie.201906079,FeN5,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphne,0,0,1,0,0,0,0,5.9,0,13.9,5,13.7,66.09,47.74,31.34,17.88,3.04,1.07,118,1,800,2,2,CO,KHCO3,0,0.1,2,nafion 117,177.8,carbon paper,1,1,20,6.8,38.5,59.46,82.26,91.61,82.35,72.59,57.77,43.86,31.06,,,,0.2187,1.071,2.1904,3.351,4.287,4.365,4.154,3.541,,,-0.46,-0.35,0.35,96.6,1.9,0,0.08,,
A Graphene-Supported Single-Atom FeN5 Catalytic Site for Efficient Electrochemical CO2 Reduction,10.1002/anie.201906079,FeN4,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphne,0,0,1,0,0,0,0,9.9,0,23.9,4,7.6,57.06583923,58.52,23.15,12.44,5.88,1.13,23,1,800,2,2,CO,KHCO3,0,0.1,2,nafion 117,177.8,carbon paper,1,1,20,6.8,51.7,51.7,53.6,60.63,65.56,59.85,50.29,42.19,32.218,,,,0.0183,0.0461,0.1872,0.3568,0.4878,0.5818,0.5905,0.5586,,,-0.56,-0.45,0.45,66,0.28,,,,
Single-Atom Electrocatalysts from Multivariate Metal每Organic Frameworks for Highly Selective Reduction of CO2 at Low Pressures,10.1002/anie.202008787,Fe1-N-C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,MTV-MOFs derived,1,0,0,0,0,0,0,1.78,0,4.72,4,,,49.17,15.13,28.89,6.8,0.94,461,0,800,2,5.333,CO,KHCO3,0,0.5,0.3,nafion 115,127,carbon paper,1,1,5,7.2,,44.90192,74.73023,87.32553,81.04055,57.21845,33.39635,9.57425,,,,,,0.81912,3.01708,6.99614,8.30354,8.62566,,,,,-0.5,-0.39,0.39,87.32,3.01708,,,1099,104
Single-Atom Electrocatalysts from Multivariate Metal每Organic Frameworks for Highly Selective Reduction of CO2 at Low Pressures,10.1002/anie.202008787,Co1-N-C,Co,58.93,27,7.81,1.88,63.87,7,126,none,MTV-MOFs derived,1,0,0,0,0,0,0,1.57,0,4.76,4,,,41.58,17.59,25.91,14.9,0.93,448,0,800,2,5.333,CO,KHCO3,0,0.5,0.3,nafion 115,127,carbon paper,1,1,5,7.2,,,1.76871,12.28592,17.17705,17.32911,15.50443,13.12223,,,,,,,0.19384,1.1886,2.3918,3.90763,,,,,-0.7,-0.59,0.59,17.33,2.3918,,,1058,142
Single-Atom Electrocatalysts from Multivariate Metal每Organic Frameworks for Highly Selective Reduction of CO2 at Low Pressures,10.1002/anie.202008787,Ni1-N-C,Ni,58.693,28,7.61,1.91,111.54,8,121,none,MTV-MOFs derived,1,0,0,0,0,0,0,1.75,0,4.94,4,,,46.79,16.83,24.89,11.49,0.92,451,0,800,2,5.333,CO,KHCO3,0,0.5,0.3,nafion 115,127,carbon paper,1,1,5,7.2,,,20.26885,55.95132,85.09537,94.47216,96.5756,94.04133,84.53784,,,,,0.03278,0.98018,6.16243,17.15221,28.98518,,,,,-0.8,-0.69,0.69,96.8,28.98518,10,0.1424,11315,98
Single-Atom Electrocatalysts from Multivariate Metal每Organic Frameworks for Highly Selective Reduction of CO2 at Low Pressures,10.1002/anie.202008787,Cu1-N-C,Cu,63.546,29,7.69,1.9,119.16,10,138,none,MTV-MOFs derived,1,0,0,0,0,0,0,1.43,0,4.82,4,,,49.51,17.07,24.56,8.84,0.94,459,0,800,2,5.333,CO,KHCO3,0,0.5,0.3,nafion 115,127,carbon paper,1,1,5,7.2,,,3.03585,11.42427,13.80648,12.6914,10.30919,6.96396,,,,,,,,0.03278,0.13699,0.29805,,,,,-0.6,-0.49,0.49,13.8,0.29805,,,24.5,118
Electrocatalytic reduction of CO2 to CO over iron phthalocyanine-modified graphene nanocomposites,10.1016/j.carbon.2020.06.036,FePc-Gr75,Fe,55.845,26,7.83,1.83,14.57,6,125,none,graphne,0,0,1,0,0,0,0,5.044,0,4.884,4,32.5,57.591,61.92,21.76,13.81,2.51,1.03,,0,25,24,0,CO,KHCO3,0,0.1,0.2,not mentioned,177.8,carbon paper,1,1,10,6.8,,,76.8,91.8,89.7,82.1,76.5,70.9,,,,,,0.27,1.12,1.67,1.87,2.07,,,,,-0.5,-0.39,0.39,91.8,1.12,10,0.28,,123
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Co?N5/HNPCSs,Co,58.93,27,7.81,1.88,63.87,7,126,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,3.54,0,,5,,,20.901,41.239,37.86,0,,568,0,25,24,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,83.6,91.98,97.11,98.66,88.99,,,,,,,,,4.5,,,,,,-0.73,-0.62,0.62,99.2,4.5,10,1.16,480.5,
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Fe-N5/HNPCSs,Fe,55.845,26,7.83,1.83,14.57,6,125,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,3.03,0,,5,,,,,,,,,0,25,24,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,62.36,81.45,62.36,25.4,7.31,,,,,,,,,,,,,,,-0.6,-0.49,0.49,81.45,,,,,
Design of Single-Atom Co每N5 Catalytic Site  A Robust Electrocatalyst for CO2 Reduction with Nearly 100% CO Selectivity and Remarkable Stability,10.1021/jacs.8b00814,Ni-N5/HNPCSs,Ni,58.693,28,7.61,1.91,111.54,8,121,none,SiO2 nanoparticle templated hollw spheres,0,1,0,0,0,0,0,3.32,0,,5,,,,,,,,,0,25,24,2,CO,NaHCO3,0,0.2,0.3,nafion 117,177.8,carbon paper,1,,10,7,,,,32.29,32.9,33.51,44.45,8.4,,,,,,,,,,,,,,,-0.8,-0.69,0.69,44.45,,,,,
