"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",3.50307692307692,120,"BET:BET",3.345
"BET","CL",3.52064102564103,125,"CL:BET",3.345
"BET","ENEG",2.78061954965508,148,"ENEG:BET",3.345
"BET","EPH",2.62192307692308,152,"EPH:BET",3.345
"BET","FLOWCELL",3.44459180666077,143,"FLOWCELL:BET",3.345
"BET","IP",3.88451574332403,110,"IP:BET",3.345
"BET","MNN",2.76439102564103,143,"MNN:BET",3.345
"BET","MT",2.60823717948718,149,"MT:BET",3.345
"BET","NC",3.04967948717949,131,"NC:BET",3.345
"BET","NDE",4.23116169544741,116,"NDE:BET",3.345
"BET","PTEMP",3.57371794871795,106,"PTEMP:BET",3.345
"BET","PYRID",3.28125,131,"PYRID:BET",3.345
"BET","PYRRO",3.42884615384615,135,"PYRRO:BET",3.345
"BET","RAMAN",3.41282051282051,116,"RAMAN:BET",3.345
"BET","RR",3.53044871794872,97,"RR:BET",3.345
"BIO","BET",7.01596153846154,63,"BET:BIO",6.8143
"BIO","CL",6.97551282051282,67,"CL:BIO",6.8143
"BIO","ENEG",6.86268384745542,123,"ENEG:BIO",6.8143
"BIO","EPH",6.98253205128205,101,"EPH:BIO",6.8143
"BIO","FLOWCELL",7.46198054818745,117,"FLOWCELL:BIO",6.8143
"BIO","IP",7.20479606749037,67,"IP:BIO",6.8143
"BIO","MNN",7.61407051282051,73,"MNN:BIO",6.8143
"BIO","MT",7.56884615384615,88,"MT:BIO",6.8143
"BIO","NC",6.30461538461538,60,"NC:BIO",6.8143
"BIO","NDE",7.46307561486133,81,"NDE:BIO",6.8143
"BIO","PTEMP",5.92929487179487,37,"PTEMP:BIO",6.8143
"BIO","PYRID",6.66429487179487,74,"PYRID:BIO",6.8143
"BIO","PYRRO",7.43397435897436,63,"PYRRO:BIO",6.8143
"BIO","RAMAN",6.48105769230769,59,"RAMAN:BIO",6.8143
"BIO","RR",5.31891025641026,45,"RR:BIO",6.8143
"CL","BET",3.79346153846154,110,"BET:CL",3.37
"CL","CL",3.97487179487179,122,"CL:CL",3.37
"CL","ENEG",2.77118313158922,149,"ENEG:CL",3.37
"CL","EPH",2.78217948717949,152,"EPH:CL",3.37
"CL","FLOWCELL",4.26267315060419,140,"FLOWCELL:CL",3.37
"CL","IP",4.16015676896506,110,"IP:CL",3.37
"CL","MNN",3.36817307692308,137,"MNN:CL",3.37
"CL","MT",3.71429487179487,130,"MT:CL",3.37
"CL","NC",4.08096153846154,107,"NC:CL",3.37
"CL","NDE",4.35393772893773,114,"NDE:CL",3.37
"CL","PTEMP",4.11410256410256,96,"PTEMP:CL",3.37
"CL","PYRID",3.74923076923077,124,"PYRID:CL",3.37
"CL","PYRRO",3.96089743589744,125,"PYRRO:CL",3.37
"CL","RAMAN",4.19371794871795,104,"RAMAN:CL",3.37
"CL","RR",3.74679487179487,98,"RR:CL",3.37
"CTUBE","BET",6.62730769230769,54,"BET:CTUBE",6.4662
"CTUBE","CL",7.15871794871795,58,"CL:CTUBE",6.4662
"CTUBE","ENEG",6.47806846284004,123,"ENEG:CTUBE",6.4662
"CTUBE","EPH",6.9374358974359,108,"EPH:CTUBE",6.4662
"CTUBE","FLOWCELL",8.22384320660183,100,"FLOWCELL:CTUBE",6.4662
"CTUBE","IP",7.27962667729507,66,"IP:CTUBE",6.4662
"CTUBE","MNN",7.12480769230769,78,"MNN:CTUBE",6.4662
"CTUBE","MT",7.19208333333333,93,"MT:CTUBE",6.4662
"CTUBE","NC",6.42057692307692,53,"NC:CTUBE",6.4662
"CTUBE","NDE",7.3321559392988,80,"NDE:CTUBE",6.4662
"CTUBE","PTEMP",5.82910256410256,38,"PTEMP:CTUBE",6.4662
"CTUBE","PYRID",6.84657051282051,65,"PYRID:CTUBE",6.4662
"CTUBE","PYRRO",6.80192307692308,67,"PYRRO:CTUBE",6.4662
"CTUBE","RAMAN",6.24349358974359,55,"RAMAN:CTUBE",6.4662
"CTUBE","RR",5.60416666666667,43,"RR:CTUBE",6.4662
"EC","BET",5.7324358974359,74,"BET:EC",4.59405
"EC","CL",5.98179487179487,88,"CL:EC",4.59405
"EC","ENEG",5.19068072367565,129,"ENEG:EC",4.59405
"EC","EPH",6.91826923076923,106,"EPH:EC",4.59405
"EC","FLOWCELL",6.63741526672561,112,"FLOWCELL:EC",4.59405
"EC","IP",5.98173242991896,86,"IP:EC",4.59405
"EC","MNN",5.50592948717949,111,"MNN:EC",4.59405
"EC","MT",5.97846153846154,108,"MT:EC",4.59405
"EC","NC",5.70115384615385,82,"NC:EC",4.59405
"EC","NDE",5.78486394557823,98,"NDE:EC",4.59405
"EC","PTEMP",5.30173076923077,67,"PTEMP:EC",4.59405
"EC","PYRID",6.06532051282051,90,"PYRID:EC",4.59405
"EC","PYRRO",6.20384615384615,94,"PYRRO:EC",4.59405
"EC","RAMAN",5.44413461538462,75,"RAMAN:EC",4.59405
"EC","RR",5.00160256410256,59,"RR:EC",4.59405
"ENEG","BET",5.75448717948718,66,"BET:ENEG",2.90715
"ENEG","CL",6.51974358974359,72,"CL:ENEG",2.90715
"ENEG","ENEG",6.24765716516985,125,"ENEG:ENEG",2.90715
"ENEG","EPH",7.24589743589744,84,"EPH:ENEG",2.90715
"ENEG","FLOWCELL",7.7157382847038,90,"FLOWCELL:ENEG",2.90715
"ENEG","IP",6.16776272087153,83,"IP:ENEG",2.90715
"ENEG","MNN",6.30826923076923,90,"MNN:ENEG",2.90715
"ENEG","MT",5.72842948717949,99,"MT:ENEG",2.90715
"ENEG","NC",5.8425,67,"NC:ENEG",2.90715
"ENEG","NDE",6.22000915750916,93,"NDE:ENEG",2.90715
"ENEG","PTEMP",5.62371794871795,46,"PTEMP:ENEG",2.90715
"ENEG","PYRID",6.42346153846154,72,"PYRID:ENEG",2.90715
"ENEG","PYRRO",6.47564102564103,78,"PYRRO:ENEG",2.90715
"ENEG","RAMAN",6.355,48,"RAMAN:ENEG",2.90715
"ENEG","RR",5.40705128205128,42,"RR:ENEG",2.90715
"EPH","BET",4.71160256410256,99,"BET:EPH",2.88
"EPH","CL",4.76923076923077,106,"CL:EPH",2.88
"EPH","ENEG",3.45831706364701,138,"ENEG:EPH",2.88
"EPH","EPH",5.14185897435897,130,"EPH:EPH",2.88
"EPH","FLOWCELL",4.59350132625995,129,"FLOWCELL:EPH",2.88
"EPH","IP",5.1888202471104,90,"IP:EPH",2.88
"EPH","MNN",4.54230769230769,116,"MNN:EPH",2.88
"EPH","MT",4.38733974358974,121,"MT:EPH",2.88
"EPH","NC",4.76326923076923,95,"NC:EPH",2.88
"EPH","NDE",4.11773940345369,112,"NDE:EPH",2.88
"EPH","PTEMP",4.63551282051282,78,"PTEMP:EPH",2.88
"EPH","PYRID",4.48099358974359,107,"PYRID:EPH",2.88
"EPH","PYRRO",5.16282051282051,100,"PYRRO:EPH",2.88
"EPH","RAMAN",4.55153846153846,92,"RAMAN:EPH",2.88
"EPH","RR",4.50160256410256,71,"RR:EPH",2.88
"FLOWCELL","BET",7.24711538461538,21,"BET:FLOWCELL",3.8403
"FLOWCELL","CL",7.76666666666667,26,"CL:FLOWCELL",3.8403
"FLOWCELL","ENEG",7.61994012755434,74,"ENEG:FLOWCELL",3.8403
"FLOWCELL","EPH",8.47147435897436,46,"EPH:FLOWCELL",3.8403
"FLOWCELL","FLOWCELL",12.8735632183908,0,"FLOWCELL:FLOWCELL",3.8403
"FLOWCELL","IP",7.59532350205925,30,"IP:FLOWCELL",3.8403
"FLOWCELL","MNN",8.63923076923077,28,"MNN:FLOWCELL",3.8403
"FLOWCELL","MT",8.07298076923077,49,"MT:FLOWCELL",3.8403
