"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",4.03724431818182,117,"BET:BET",3.54
"BET","CL",4.06159090909091,132,"CL:BET",3.54
"BET","EC",4.26322887970615,115,"EC:BET",3.54
"BET","ENEG",2.9271694214876,164,"ENEG:BET",3.54
"BET","EPH",3.20892045454545,169,"EPH:BET",3.54
"BET","FLOWCELL",2.76704545454545,176,"FLOWCELL:BET",3.54
"BET","IP",4.26651554404145,121,"IP:BET",3.54
"BET","MNN",3.77178977272727,135,"MNN:BET",3.54
"BET","MT",3.79789772727273,142,"MT:BET",3.54
"BET","NC",3.68636363636364,122,"NC:BET",3.54
"BET","NDE",4.12604895104895,128,"NDE:BET",3.54
"BET","PTEMP",3.66559659090909,105,"PTEMP:BET",3.54
"BET","PYRID",3.82997159090909,125,"PYRID:BET",3.54
"BET","PYRRO",3.35542613636364,157,"PYRRO:BET",3.54
"BET","RAMAN",3.81403409090909,117,"RAMAN:BET",3.54
"BET","RR",3.50340909090909,96,"RR:BET",3.54
"BET","ZIF",3.29220779220779,84,"ZIF:BET",3.54
"BIO","BET",7.34326704545455,49,"BET:BIO",8.557375
"BIO","CL",8.12738636363636,54,"CL:BIO",8.557375
"BIO","EC",7.51245408631772,52,"EC:BIO",8.557375
"BIO","ENEG",8.66795798898072,117,"ENEG:BIO",8.557375
"BIO","EPH",9.27227272727273,104,"EPH:BIO",8.557375
"BIO","FLOWCELL",9.36182301740812,120,"FLOWCELL:BIO",8.557375
"BIO","IP",7.41174046161093,65,"IP:BIO",8.557375
"BIO","MNN",7.91565340909091,63,"MNN:BIO",8.557375
"BIO","MT",8.47113636363636,80,"MT:BIO",8.557375
"BIO","NC",6.82784090909091,45,"NC:BIO",8.557375
"BIO","NDE",8.25474941724942,67,"NDE:BIO",8.557375
"BIO","PTEMP",5.93931818181818,40,"PTEMP:BIO",8.557375
"BIO","PYRID",7.14346590909091,46,"PYRID:BIO",8.557375
"BIO","PYRRO",8.33650568181818,71,"PYRRO:BIO",8.557375
"BIO","RAMAN",7.09971590909091,41,"RAMAN:BIO",8.557375
"BIO","RR",5.35295454545455,20,"RR:BIO",8.557375
"BIO","ZIF",5.04525162337662,25,"ZIF:BIO",8.557375
"CL","BET",4.54548295454545,107,"BET:CL",2.95
"CL","CL",5.05517045454545,115,"CL:CL",2.95
"CL","EC",4.89815771349862,101,"EC:CL",2.95
"CL","ENEG",2.95385674931129,162,"ENEG:CL",2.95
"CL","EPH",3.25181818181818,164,"EPH:CL",2.95
"CL","FLOWCELL",2.89449347195358,167,"FLOWCELL:CL",2.95
"CL","IP",4.68011069241639,106,"IP:CL",2.95
"CL","MNN",4.38173295454545,125,"MNN:CL",2.95
"CL","MT",4.17485795454545,131,"MT:CL",2.95
"CL","NC",4.27784090909091,109,"NC:CL",2.95
"CL","NDE",4.89632867132867,110,"NDE:CL",2.95
"CL","PTEMP",4.39522727272727,88,"PTEMP:CL",2.95
"CL","PYRID",4.43139204545455,107,"PYRID:CL",2.95
"CL","PYRRO",4.3246875,135,"PYRRO:CL",2.95
"CL","RAMAN",4.42204545454545,100,"RAMAN:CL",2.95
"CL","RR",3.97386363636364,81,"RR:CL",2.95
"CL","ZIF",3.78936688311688,70,"ZIF:CL",2.95
"CTUBE","BET",7.41392045454545,46,"BET:CTUBE",6.94575
