IP,ENEG,NDE,ZIF,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,RR,FLOWCELL,EC,CL,EPH,CD
0,0,0,0,0,0,0,2.18,0,24.2,54.4,1.1,556,900,5,0,0.1,0.48,6.8,0.54109
7.83,1.83,6,0,1,0,6.98,0.83,3.36,70,20,1.052777327,104,900,6.234264733,0,0.1,0.8,6.8,2.673
0,0,0,0,0,0,0,9.046276646,0,44.1,29.9,0.89,899,900,5,0,0.1,0.5,6.8,0.50204
0,0,0,1,0,0,0,5,0,0,0,0.96,718.5593788,1000,5,0,0.1,0.8,6.8,3.50374
7.61,1.91,8,0,0,0,0.24,3.686837297,4,19.87,17.74,1.081130909,680,1000,4.879027022,0,0.5,0.5,7.2,3.61185
7.61,1.91,8,0,0,0,0.73,4.4,3.5,22.87636669,11.43818335,1.073653021,47,650,10,1,0.5,2,7.2,27.42622
7.61,1.91,8,0,0,0,5.0164692,3.699912124,4,41.26935925,23.53477073,1.052093871,250,900,3,0,0.5,0.1,7.3,3.628413559
7.81,1.88,7,0,0,0,7.381115826,3.036070894,4,48,10,3.01,1056.73628,800,5,0,0.5,1.291540442,7.2,0.2919
7.83,1.83,6,1,0,0,0.57,9.451166446,5,63.87,27.05,0.99,730.236858,900,5,0,1,0.75,13.8,3.33
7.61,1.91,8,0,0,0,1.79,2.5,3.5,56.42837118,28.21418559,1.066592428,214,650,10,1,0.5,2,7.2,44.61308
7.61,1.91,8,1,0,0,2.2,5.374686235,4,46.13248967,0,1.326824359,1066.063913,1000,5,0,0.5,0.4,7.2,0.99
0,0,0,0,0,1,0,3.9,0,24.35897436,28.97435897,1.23,974,1100,5,0,0.1,0.2,6.8,0.83071
7.61,1.91,8,0,1,0,43.81577576,15.31728665,4,64.49250153,24.25824507,0.4,130,800,10,1,0.5,0.5,7.2,14.751528
7.61,1.91,8,1,0,0,2.01,4.727602668,4,44.94940833,19.97942034,0.994499209,602.930251,1000,5,0,0.5,0.8,7.2,3.345740201
