"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",3.70858490566038,128,"BET:BET",2.955
"BET","CL",3.54213836477987,114,"CL:BET",2.955
"BET","ENEG",2.64170196380439,150,"ENEG:BET",2.955
"BET","EPH",3.91449685534591,108,"EPH:BET",2.955
"BET","IP",4.48328368090036,115,"IP:BET",2.955
"BET","MNN",2.75534591194969,154,"MNN:BET",2.955
"BET","MT",2.92364779874214,145,"MT:BET",2.955
"BET","NC",3.19996855345912,142,"NC:BET",2.955
"BET","NDE",4.06504299833141,120,"NDE:BET",2.955
"BET","PTEMP",3.81465408805031,122,"PTEMP:BET",2.955
"BET","PTIME",4.22154799152998,109,"PTIME:BET",2.955
"BET","PYRID",2.66311320754717,152,"PYRID:BET",2.955
"BET","PYRRO",3.16949685534591,129,"PYRRO:BET",2.955
"BET","RAMAN",3.95911949685535,109,"RAMAN:BET",2.955
"BET","RR",3.62842767295597,118,"RR:BET",2.955
"BET","ZIF",3.59923130677848,104,"ZIF:BET",2.955
"BIO","BET",8.2335534591195,70,"BET:BIO",7.571875
"BIO","CL",6.85987421383648,47,"CL:BIO",7.571875
"BIO","ENEG",8.80394044410217,112,"ENEG:BIO",7.571875
"BIO","EPH",6.9959748427673,47,"EPH:BIO",7.571875
"BIO","IP",8.15143992055611,86,"IP:BIO",7.571875
"BIO","MNN",9.05924528301887,98,"MNN:BIO",7.571875
"BIO","MT",8.31,88,"MT:BIO",7.571875
"BIO","NC",8.20169811320755,77,"NC:BIO",7.571875
"BIO","NDE",8.18142728789629,77,"NDE:BIO",7.571875
"BIO","PTEMP",7.63327044025157,58,"PTEMP:BIO",7.571875
"BIO","PTIME",7.29572390253153,44,"PTIME:BIO",7.571875
"BIO","PYRID",8.5487106918239,70,"PYRID:BIO",7.571875
"BIO","PYRRO",7.75157232704403,59,"PYRRO:BIO",7.571875
"BIO","RAMAN",6.83075471698113,56,"RAMAN:BIO",7.571875
"BIO","RR",7.41685534591195,40,"RR:BIO",7.571875
"BIO","ZIF",6.83562035448828,42,"ZIF:BIO",7.571875
"CBLACK","BET",8.4312893081761,54,"BET:CBLACK",8.339875
"CBLACK","CL",6.83220125786163,37,"CL:CBLACK",8.339875
"CBLACK","ENEG",8.95507637017071,103,"ENEG:CBLACK",8.339875
"CBLACK","EPH",7.28374213836478,26,"EPH:CBLACK",8.339875
"CBLACK","IP",9.06024495200265,67,"IP:CBLACK",8.339875
"CBLACK","MNN",9.72641509433962,84,"MNN:CBLACK",8.339875
"CBLACK","MT",9.57283018867924,67,"MT:CBLACK",8.339875
"CBLACK","NC",9.07691823899371,61,"NC:CBLACK",8.339875
"CBLACK","NDE",8.35066101912463,67,"NDE:CBLACK",8.339875
"CBLACK","PTEMP",7.97207547169811,35,"PTEMP:CBLACK",8.339875
"CBLACK","PTIME",7.31158939350842,39,"PTIME:CBLACK",8.339875
"CBLACK","PYRID",8.57676100628931,58,"PYRID:CBLACK",8.339875
"CBLACK","PYRRO",7.61839622641509,54,"PYRRO:CBLACK",8.339875
"CBLACK","RAMAN",7.41238993710692,40,"RAMAN:CBLACK",8.339875
