"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",2.86,8,"BET:BET",2.5
"BET","CL",4.71,7,"CL:BET",2.5
"BET","EC",5.05,5,"EC:BET",2.5
"BET","ENEG",6.94444444444444,6,"ENEG:BET",2.5
"BET","EPH",5.85,7,"EPH:BET",2.5
"BET","IP",1.7,10,"IP:BET",2.5
"BET","MNN",4.56,6,"MNN:BET",2.5
"BET","MT",7.12,6,"MT:BET",2.5
"BET","NC",6.18,2,"NC:BET",2.5
"BET","NDE",4.28,6,"NDE:BET",2.5
"BET","PTEMP",2.29,9,"PTEMP:BET",2.5
"BET","PYRID",3.62,8,"PYRID:BET",2.5
"BET","PYRRO",4.88,6,"PYRRO:BET",2.5
"BET","RAMAN",4.74,6,"RAMAN:BET",2.5
"BET","RR",4.02,6,"RR:BET",2.5
"BIO","BET",9.16,3,"BET:BIO",6.5
"BIO","CL",9.46,2,"CL:BIO",6.5
"BIO","EC",6.65,5,"EC:BIO",6.5
"BIO","ENEG",8.23333333333333,7,"ENEG:BIO",6.5
"BIO","EPH",10.1,6,"EPH:BIO",6.5
"BIO","IP",6.64,9,"IP:BIO",6.5
"BIO","MNN",7.93,3,"MNN:BIO",6.5
"BIO","MT",10.68,4,"MT:BIO",6.5
"BIO","NC",6.58,2,"NC:BIO",6.5
"BIO","NDE",9.04,3,"NDE:BIO",6.5
"BIO","PTEMP",8.25,5,"PTEMP:BIO",6.5
"BIO","PYRID",7.76,4,"PYRID:BIO",6.5
"BIO","PYRRO",8.78,1,"PYRRO:BIO",6.5
"BIO","RAMAN",7.47,3,"RAMAN:BIO",6.5
"BIO","RR",7.71,3,"RR:BIO",6.5
"CL","BET",5.74,7,"BET:CL",3.7
"CL","CL",8.05,5,"CL:CL",3.7
"CL","EC",5.75,5,"EC:CL",3.7
"CL","ENEG",6.93333333333333,7,"ENEG:CL",3.7
"CL","EPH",5.4,8,"EPH:CL",3.7
"CL","IP",6.58,8,"IP:CL",3.7
"CL","MNN",4.96,6,"MNN:CL",3.7
"CL","MT",6.09,7,"MT:CL",3.7
"CL","NC",5.88,2,"NC:CL",3.7
"CL","NDE",6.52,4,"NDE:CL",3.7
"CL","PTEMP",6.16,6,"PTEMP:CL",3.7
"CL","PYRID",5.78,7,"PYRID:CL",3.7
"CL","PYRRO",8.02,4,"PYRRO:CL",3.7
"CL","RAMAN",6.65,5,"RAMAN:CL",3.7
"CL","RR",5.95,5,"RR:CL",3.7
"CPGC","BET",9.28,4,"BET:CPGC",5.2
"CPGC","CL",7.42,4,"CL:CPGC",5.2
"CPGC","EC",6.91,3,"EC:CPGC",5.2
"CPGC","ENEG",9.55555555555556,5,"ENEG:CPGC",5.2
"CPGC","EPH",8.55,7,"EPH:CPGC",5.2
"CPGC","IP",8.48,8,"IP:CPGC",5.2
"CPGC","MNN",8.83,3,"MNN:CPGC",5.2
"CPGC","MT",7.72,6,"MT:CPGC",5.2
"CPGC","NC",7.69,1,"NC:CPGC",5.2
"CPGC","NDE",7.74,3,"NDE:CPGC",5.2
"CPGC","PTEMP",8.94,4,"PTEMP:CPGC",5.2
"CPGC","PYRID",7.48,7,"PYRID:CPGC",5.2
"CPGC","PYRRO",8.24,3,"PYRRO:CPGC",5.2
"CPGC","RAMAN",10.18,2,"RAMAN:CPGC",5.2
"CPGC","RR",7.54,2,"RR:CPGC",5.2
"CTUBE","BET",9.92,1,"BET:CTUBE",5.8
"CTUBE","CL",7.45,5,"CL:CTUBE",5.8
"CTUBE","EC",7.44,2,"EC:CTUBE",5.8
"CTUBE","ENEG",11.9555555555556,5,"ENEG:CTUBE",5.8
"CTUBE","EPH",8.9,6,"EPH:CTUBE",5.8
"CTUBE","IP",9.68,8,"IP:CTUBE",5.8
"CTUBE","MNN",9.01,1,"MNN:CTUBE",5.8
"CTUBE","MT",12.31,3,"MT:CTUBE",5.8
"CTUBE","NC",6.59,1,"NC:CTUBE",5.8
"CTUBE","NDE",7.14,3,"NDE:CTUBE",5.8
"CTUBE","PTEMP",8.83,3,"PTEMP:CTUBE",5.8
"CTUBE","PYRID",10.58,2,"PYRID:CTUBE",5.8
