IP,ENEG,NDE,ZIF,POLY,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,EC,CL,NMT,CPGC,EPH,ovp
7.83,1.83,6,0,0,0,0,3.899049689,9.036229985,4,55.4,23.6,1.04,425.3816359,700,2,2,0.5,2.5,177.8,1,7.65,0.34527
0,0,0,0,0,0,1,0,5.586508603,0,31.87544991,51.73092854,0.930564458,802.5708495,800,2,10,0.5,1,177.8,1,7.2,0.39
7.61,1.91,8,0,0,1,0,1.68,6.424020884,3.7,58.2,18.8,1.100377892,648,800,5,5,0.5,0.35,177.8,1,7.2,0.89
0,0,0,0,1,0,0,0,2.74,0,25.19962667,13.87534999,1.02,1044,1000,4,3.975335503,0.5,1,177.8,1,7.3,0.69
7.83,1.83,6,0,0,0,0,5.9,13.9,5,47.74,31.34,1.07,118,800,2,2,0.1,2,177.8,1,6.8,0.35
7.61,1.91,8,0,0,0,0,17.62886598,15.395189,4,62.77311618,23.5883447,0.7,308,800,1,10,0.5,0.5,177.8,1,7.2,0.52
7.83,1.83,6,1,0,0,0,4.58,8.93,4,36.54,36.17,1,1164.6,900,3,5,0.5,0.4,127,1,7.3,0.36
7.83,1.83,6,0,0,1,0,1.6,4.6,4,49.8,26.7,1.43,1025.69,900,1,5,0.1,0.398,50,1,6.8,0.49
7.61,1.91,8,0,0,1,0,0.17,2.3,3.2,57.72292994,28.125,1.435293653,971.9094346,850,3,2.2,0.5,2,177.8,0,7.2,0.66
7.61,1.91,8,0,1,0,0,2.267041901,7.551594747,4.1,8.854891052,21.04775151,1.121643445,378,700,3,4.228338805,0.1,0.64773859,177.8,1,6.8,0.69
0,0,0,0,0,0,1,0,1.16,0,5.172413793,0,0.97,15,1100,2,5,0.1,0.2,177.8,0,6.8,0.49
0,0,0,1,0,0,0,0,11.2415071,0,54.4189648,21.24721642,1,1347,900,4,2,0.1,4,177.8,1,6.8,0.82
7.83,1.83,6,1,0,0,0,1.3,4.52,4,53.09734513,23.67256637,0.99,1148,900,2,3,0.5,2,127,1,7.3,0.32
7.83,1.83,6,1,0,0,0,0.38,5.413578309,4,56.7,31.2,0.94,550.1995086,1000,1,9.316550049,0.5,0.5,177.8,0,7.2,0.39
