"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",4.75111111111111,30,"BET:BET",3.06
"BET","CL",3.79111111111111,37,"CL:BET",3.06
"BET","EC",3.37866666666667,36,"EC:BET",3.06
"BET","ENEG",2.81179138321995,42,"ENEG:BET",3.06
"BET","EPH",3.25688888888889,41,"EPH:BET",3.06
"BET","IP",3.23333333333333,40,"IP:BET",3.06
"BET","MNN",3.27244444444444,36,"MNN:BET",3.06
"BET","MT",4.35022222222222,29,"MT:BET",3.06
"BET","NC",3.84622222222222,29,"NC:BET",3.06
"BET","NDE",4.47222222222222,33,"NDE:BET",3.06
"BET","PTIME",3.73022222222222,36,"PTIME:BET",3.06
"BET","PYRID",3.31466666666667,37,"PYRID:BET",3.06
"BET","PYRRO",4.18666666666667,25,"PYRRO:BET",3.06
"BET","RAMAN",3.45155555555556,39,"RAMAN:BET",3.06
"BET","RR",3.89066666666667,32,"RR:BET",3.06
"BIO","BET",8.16,10,"BET:BIO",8.1184
"BIO","CL",8.66444444444444,18,"CL:BIO",8.1184
"BIO","EC",8.29155555555556,18,"EC:BIO",8.1184
"BIO","ENEG",8.89206349206349,31,"ENEG:BIO",8.1184
"BIO","EPH",9.30933333333333,17,"EPH:BIO",8.1184
"BIO","IP",9.66222222222222,27,"IP:BIO",8.1184
"BIO","MNN",8.06133333333333,11,"MNN:BIO",8.1184
"BIO","MT",7.024,17,"MT:BIO",8.1184
"BIO","NC",6.60355555555555,13,"NC:BIO",8.1184
"BIO","NDE",9.3462962962963,17,"NDE:BIO",8.1184
"BIO","PTIME",8.18222222222222,15,"PTIME:BIO",8.1184
"BIO","PYRID",7.81466666666667,12,"PYRID:BIO",8.1184
"BIO","PYRRO",6.43688888888889,12,"PYRRO:BIO",8.1184
"BIO","RAMAN",9.87022222222222,17,"RAMAN:BIO",8.1184
"BIO","RR",7.17244444444444,9,"RR:BIO",8.1184
"CL","BET",4.90488888888889,29,"BET:CL",3.24
"CL","CL",5.00222222222222,32,"CL:CL",3.24
"CL","EC",4.79644444444444,31,"EC:CL",3.24
"CL","ENEG",3.80090702947846,41,"ENEG:CL",3.24
"CL","EPH",4.24711111111111,37,"EPH:CL",3.24
"CL","IP",3.52222222222222,40,"IP:CL",3.24
"CL","MNN",4.25955555555556,33,"MNN:CL",3.24
"CL","MT",5.24888888888889,25,"MT:CL",3.24
"CL","NC",5.09688888888889,23,"NC:CL",3.24
"CL","NDE",5.8125,30,"NDE:CL",3.24
"CL","PTIME",4.62088888888889,34,"PTIME:CL",3.24
"CL","PYRID",5.16222222222222,30,"PYRID:CL",3.24
"CL","PYRRO",4.54355555555555,22,"PYRRO:CL",3.24
"CL","RAMAN",4.11066666666667,36,"RAMAN:CL",3.24
"CL","RR",5.608,24,"RR:CL",3.24
"CPGC","BET",7.94488888888889,14,"BET:CPGC",5.9
"CPGC","CL",7.75777777777778,22,"CL:CPGC",5.9
"CPGC","EC",7.08088888888889,26,"EC:CPGC",5.9
"CPGC","ENEG",7.45804988662131,34,"ENEG:CPGC",5.9
"CPGC","EPH",7.57333333333333,25,"EPH:CPGC",5.9
"CPGC","IP",8.56666666666667,30,"IP:CPGC",5.9
"CPGC","MNN",7.43644444444444,19,"MNN:CPGC",5.9
