"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",5.04086956521739,29,"BET:BET",3.64
"BET","CL",5.60086956521739,30,"CL:BET",3.64
"BET","ENEG",5.13478260869565,31,"ENEG:BET",3.64
"BET","EPH",6.92590949423248,20,"EPH:BET",3.64
"BET","IP",5.01641526175688,28,"IP:BET",3.64
"BET","MNN",7.30434782608696,26,"MNN:BET",3.64
"BET","MT",2.10869565217391,46,"MT:BET",3.64
"BET","NC",5.09217391304348,38,"NC:BET",3.64
"BET","NDE",5.98890860692103,24,"NDE:BET",3.64
"BET","PTEMP",5.89130434782609,36,"PTEMP:BET",3.64
"BET","PTIME",5.16347826086956,20,"PTIME:BET",3.64
"BET","PYRID",5.48782608695652,23,"PYRID:BET",3.64
"BET","PYRRO",5.66304347826087,21,"PYRRO:BET",3.64
"BET","RAMAN",5.72608695652174,26,"RAMAN:BET",3.64
"BET","RR",4.57086956521739,23,"RR:BET",3.64
"BIO","BET",7.95739130434783,10,"BET:BIO",10.222
"BIO","CL",9.55782608695652,17,"CL:BIO",10.222
"BIO","ENEG",9.29478260869565,19,"ENEG:BIO",10.222
"BIO","EPH",8.61047027506655,12,"EPH:BIO",10.222
"BIO","IP",9.17834960070985,12,"IP:BIO",10.222
"BIO","MNN",10.3217391304348,20,"MNN:BIO",10.222
"BIO","MT",10.5869565217391,34,"MT:BIO",10.222
"BIO","NC",11.7582608695652,25,"NC:BIO",10.222
"BIO","NDE",8.28571428571428,11,"NDE:BIO",10.222
"BIO","PTEMP",11.4869565217391,23,"PTEMP:BIO",10.222
"BIO","PTIME",7.49478260869565,8,"PTIME:BIO",10.222
"BIO","PYRID",7.84347826086956,11,"PYRID:BIO",10.222
"BIO","PYRRO",8.05391304347826,12,"PYRRO:BIO",10.222
"BIO","RAMAN",8.50086956521739,14,"RAMAN:BIO",10.222
"BIO","RR",6.91695652173913,7,"RR:BIO",10.222
"CL","BET",5.98434782608696,19,"BET:CL",3.06
"CL","CL",7.86695652173913,24,"CL:CL",3.06
"CL","ENEG",6.6495652173913,25,"ENEG:CL",3.06
"CL","EPH",6.64463176574978,19,"EPH:CL",3.06
"CL","IP",6.02218278615794,23,"IP:CL",3.06
"CL","MNN",6.43695652173913,29,"MNN:CL",3.06
"CL","MT",2.23913043478261,46,"MT:CL",3.06
"CL","NC",5.31565217391304,37,"NC:CL",3.06
"CL","NDE",6.29370008873114,19,"NDE:CL",3.06
