IP,ENEG,NDE,GRAPHENE,CTUBE,BIO,MT,NC,MNN,PYRID,PYRRO,RAMAN,BET,PTEMP,PTIME,RR,FLOWCELL,EC,CL,CPGC,EPH,TOF
7.61,1.91,8,0,0,0,13.12,15.61466589,12,46.79,27.52,1.067054256,377.842248,1000,2,5,0,0.5,0.737172073,1,7,1.356973507
7.61,1.91,8,0,0,0,0.26,6.86,4,28.8,16.5,1.01,878,800,5,2,0,0.5,0.255,0,7.2,3.469280334
7.61,1.91,8,0,0,0,2.61,3.04,4,36.9,23.8,1,259,900,2,5,0,0.1,0.48,1,6.8,2.538025296
7.83,1.83,6,0,0,0,1.02,4.69,4,56.50319829,22.17484009,0.99,1162,900,2,3,0,1,2,1,8.8,2.537985019
6.57,1.36,1,0,0,0,1.24,5.142289869,3,48.5,0,1.051558857,925.89,1000,2,10,0,0.5,0.8,1,7.2,1.179504785
7.61,1.91,8,1,0,0,0.244,2.27,3.9,61.23348018,26.43171806,1,1515,1000,1,5,0,0.1,1,1,8,3.22021091
7.61,1.91,8,0,0,1,2.6,3.9,3,52.4,35.1,1.18,901.574345,900,1,4.811418443,0,0.5,0.603540682,0,7.3,2.604154416
9.35,1.65,10,0,0,0,7.54,10.28,4,69.35797665,15.6614786,0.89,368.3,900,4,3,0,1,2,1,8.8,0.270885048
7.81,1.88,7,0,0,0,0.9,7.692344328,3.8,34.57403924,45.43133566,1.04,692,900,2,3,0,0.1,0.32,0,6.8,3.391453035
7.83,1.83,6,1,0,0,2.349903163,2.598450613,4,79.03930131,6.113537118,0.931,153,800,2,2,0,0.1,2,1,6.8,1.781402176
7.37,1.96,10,0,0,0,1.54839972,1.380985766,4,0,0,1.159866736,598.1531838,1100,2,3,0,0.1,0.325,1,6.8,1.881274469
7.83,1.83,6,0,0,1,1.68,6.008965758,4,42.58216577,46.53659814,0.992404929,819,800,1,10,0,0.5,1,1,7.2,1.467468204
7.61,1.91,8,0,1,0,6.63,5.727205076,4,48.90811356,16.67226608,1.047518765,689,1000,2,5,0,0.5,0.8,1,7.2,2.887732806
7.83,1.83,6,0,0,0,2.8,6.8,3.4,2.702702703,91.89189189,1.530968767,772,900,3,5,0,0.5,0.3,1,7.2,3.409488059
7.61,1.91,8,0,0,0,0.59,5.33,4,33.2,10.1,1.05,757,800,5,2,0,0.5,0.255,0,7.2,3.513672424
7.83,1.83,6,0,0,0,0.2,2.5,4,45.13388569,21.55679635,1.02,1156.6,1000,3,4.16721831,0,1,1,1,8.8,3.469583435
