iter	MultiClass
0	0.9818508386
1	0.8941710986
2	0.801990722
3	0.7295574331
4	0.679911215
5	0.6368919167
6	0.5922763429
7	0.5553812317
8	0.5164496143
9	0.4962079865
10	0.4519449465
11	0.4175348378
12	0.3924732535
13	0.3690433814
14	0.3476819015
15	0.322938752
16	0.3042862899
17	0.2880388898
18	0.2695651949
19	0.2542431289
20	0.2427275994
21	0.227877699
22	0.2141653477
23	0.2023734488
24	0.192689949
25	0.184428231
26	0.1731181832
27	0.1615736112
28	0.1518774363
29	0.1457537255
30	0.1368908217
31	0.1318713657
32	0.1229982606
33	0.1169663436
34	0.1107196881
35	0.1038999349
36	0.1006540582
37	0.09719655754
38	0.09315736414
39	0.08955480228
40	0.08408310536
41	0.08000818315
42	0.0747789286
43	0.07189940157
44	0.07147458663
45	0.06753548822
46	0.06401010086
47	0.06171535206
48	0.05819610773
49	0.05538778345
