iter	Passed	Remaining
0	94	4637
1	184	4421
2	279	4379
3	378	4349
4	474	4272
5	571	4192
6	670	4118
7	771	4047
8	875	3988
9	976	3907
10	1076	3816
11	1178	3730
12	1278	3637
13	1375	3537
14	1480	3453
15	1581	3361
16	1680	3262
17	1776	3158
18	1875	3060
19	1975	2963
20	2077	2869
21	2182	2778
22	2280	2677
23	2378	2576
24	2476	2476
25	2579	2380
26	2681	2284
27	2781	2185
28	2882	2087
29	2986	1990
30	3088	1892
31	3183	1790
32	3277	1688
33	3376	1588
34	3480	1491
35	3581	1392
36	3680	1293
37	3776	1192
38	3878	1093
39	3984	996
40	4085	896
41	4184	797
42	4291	698
43	4401	600
44	4404	489
45	4507	391
46	4609	294
47	4709	196
48	4810	98
49	4911	0
