iter	Logloss
0	0.689534365
1	0.6862523547
2	0.6829783556
3	0.6795531468
4	0.6764833339
5	0.6742801784
6	0.6710612928
7	0.6675522319
8	0.6639235855
9	0.6604711325
10	0.657014943
11	0.6560255704
12	0.6519523671
13	0.6490113938
14	0.6463403415
15	0.6430975593
16	0.6397404867
17	0.6358060813
18	0.6320279419
19	0.628504783
20	0.625567457
21	0.6228186695
22	0.6184159792
23	0.6157705605
24	0.6118805684
25	0.6088945974
26	0.6064872728
27	0.6032378146
28	0.6014714515
29	0.5988593312
30	0.5968056524
31	0.5945547387
32	0.5922881983
33	0.5903303341
34	0.5871291722
35	0.5846944539
36	0.5819795008
37	0.5799830909
38	0.577608222
39	0.5748420182
40	0.5715881883
41	0.5690596747
42	0.5673152933
43	0.5664575915
44	0.5647199094
45	0.562703563
46	0.5598997235
47	0.55743088
48	0.5550713542
49	0.5521623743
