iter	Passed	Remaining
0	6	306
1	11	277
2	16	264
3	22	256
4	27	245
5	29	218
6	34	214
7	40	215
8	46	213
9	53	213
10	60	214
11	61	194
12	67	193
13	73	189
14	79	185
15	85	180
16	90	175
17	95	170
18	101	165
19	106	160
20	111	154
21	117	149
22	122	144
23	128	138
24	134	134
25	140	129
26	145	124
27	150	118
28	156	113
29	161	107
30	167	102
31	172	96
32	177	91
33	183	86
34	188	80
35	208	81
36	213	75
37	218	69
38	224	63
39	229	57
40	234	51
41	240	45
42	245	39
43	246	33
44	251	27
45	257	22
46	262	16
47	267	11
48	273	5
49	278	0
