iter	MultiClass
0	1.021176232
1	0.9654855544
2	0.9113067751
3	0.8686276396
4	0.8300076947
5	0.7993070807
6	0.7735918669
7	0.7445156915
8	0.7228674249
9	0.7043286585
10	0.6886095408
11	0.6734393912
12	0.6634790268
13	0.6530920048
14	0.6394020079
15	0.6273495937
16	0.614551024
17	0.6015190819
18	0.5923029889
19	0.5855749247
20	0.5756212721
21	0.5651520975
22	0.5608240813
23	0.5539739775
24	0.5443946223
25	0.5373132629
26	0.5295281356
27	0.5245848138
28	0.5156569678
29	0.5084834736
30	0.5022494037
31	0.4968684499
32	0.4901961777
33	0.4843927148
34	0.4817720133
35	0.4739811936
36	0.4692850645
37	0.4651438045
38	0.4609849288
39	0.4574602049
40	0.4493062587
41	0.4448093013
42	0.4405155408
43	0.4374572076
44	0.4320220336
45	0.4274773149
46	0.4246902564
47	0.4178325491
48	0.4131611765
49	0.409257698
50	0.4049194216
51	0.4008759372
52	0.3952963565
53	0.3898687549
54	0.3854332925
55	0.379029069
56	0.3751976026
57	0.3715017208
58	0.3682863511
59	0.3651658986
60	0.360027217
61	0.3571320301
62	0.3539191699
63	0.3499076255
64	0.3470214126
65	0.3456072911
66	0.3406260125
67	0.3365947793
68	0.3348295845
69	0.3312976094
70	0.3288280736
71	0.3253923547
72	0.3205749295
73	0.3172998145
74	0.31497187
75	0.3097205781
76	0.3081383805
77	0.3063248117
78	0.3035000385
79	0.3010844367
80	0.2978346715
81	0.2948530166
82	0.2925889455
83	0.2901529392
84	0.2874877458
85	0.2854505824
86	0.2838505829
87	0.2815035478
88	0.2798580875
89	0.2785972896
90	0.2745750352
91	0.2709457404
92	0.2688745227
93	0.2657428641
94	0.2640076957
95	0.2596924771
96	0.2584706928
97	0.2560650395
98	0.2537063261
99	0.2519922495
