iter	Passed	Remaining
0	2	217
1	18	888
2	19	640
3	21	507
4	22	426
5	23	372
6	24	331
7	26	301
8	27	277
9	28	258
10	30	243
11	31	229
12	32	219
13	34	213
14	36	207
15	37	198
16	39	191
17	40	184
18	41	177
19	42	171
20	44	166
21	45	161
22	46	157
23	48	153
24	49	149
25	51	145
26	52	143
27	54	139
28	55	136
29	56	132
30	58	129
31	59	126
32	60	123
33	62	120
34	63	118
35	65	115
36	66	113
37	68	111
38	69	108
39	70	106
40	72	103
41	73	101
42	74	98
43	75	96
44	77	94
45	78	92
46	80	90
47	81	88
48	82	86
49	84	84
50	85	82
51	86	80
52	88	78
53	89	76
54	90	74
55	91	72
56	93	70
57	95	69
58	96	67
59	98	65
60	99	63
61	101	61
62	102	60
63	103	58
64	104	56
65	106	54
66	107	52
67	108	51
68	110	49
69	112	48
70	113	46
71	114	44
72	116	42
73	117	41
74	119	39
75	120	38
76	121	36
77	123	34
78	124	33
79	126	31
80	127	29
81	128	28
82	129	26
83	131	25
84	133	23
85	134	21
86	135	20
87	136	18
88	138	17
89	140	15
90	141	14
91	143	12
92	144	10
93	145	9
94	147	7
95	149	6
96	151	4
97	153	3
98	154	1
99	155	0
