iter	MultiClass
0	0.6891457436
1	0.5382668363
2	0.3900596087
3	0.2822582573
4	0.2398134454
5	0.1880688611
6	0.1562146395
7	0.1334195817
8	0.1198555449
9	0.09797469445
10	0.08341334418
11	0.06197733218
12	0.0554112989
13	0.04945701649
14	0.04343287337
15	0.03580491358
16	0.02866708645
17	0.02392555535
18	0.02209495272
19	0.01940995951
20	0.01776973508
21	0.01535412803
22	0.01402749954
23	0.01270048689
24	0.01141834506
25	0.009945405342
26	0.00891925575
27	0.007847362754
28	0.007180075981
29	0.006579522497
30	0.005879226241
31	0.005272302581
32	0.004492439578
33	0.004157458611
34	0.00352776891
35	0.003070726346
36	0.002644171516
37	0.00245508877
38	0.002141925477
39	0.001928080278
40	0.001650726145
41	0.001523776288
42	0.001305698225
43	0.001186959216
44	0.001099069322
45	0.0009346216556
46	0.000818351645
47	0.0007046593064
48	0.0006397257515
49	0.0005922558926
50	0.0005162421296
51	0.000423029144
52	0.0003730099492
53	0.0003396359799
54	0.0003125323287
55	0.0002797109536
56	0.0002499548978
57	0.0002377763249
58	0.0002105482109
59	0.0001989103485
60	0.0001793756345
61	0.0001643756106
62	0.000140533426
63	0.0001216780665
64	0.0001101369123
65	0.0001013679182
66	8.825657781e-05
67	7.702081975e-05
68	7.054651339e-05
69	6.157933924e-05
70	5.397638701e-05
71	4.337948985e-05
72	3.815516352e-05
73	3.557705266e-05
74	2.892314565e-05
75	2.635549012e-05
76	2.415427141e-05
77	2.208484504e-05
78	2.041133429e-05
79	1.81458574e-05
80	1.69110942e-05
81	1.554416671e-05
82	1.360860463e-05
83	1.217198631e-05
84	1.06424747e-05
85	9.382134086e-06
86	8.704326711e-06
87	7.85577044e-06
88	6.75938232e-06
89	6.191483546e-06
90	5.825231406e-06
91	5.280607627e-06
92	4.786970801e-06
93	4.52186394e-06
94	4.038994216e-06
95	3.600616077e-06
96	3.166176848e-06
97	2.753831942e-06
98	2.621851209e-06
99	2.456745366e-06
100	2.186373582e-06
101	2.001340867e-06
102	1.867275425e-06
103	1.750421564e-06
104	1.612730989e-06
105	1.538747466e-06
106	1.399873034e-06
107	1.301494954e-06
108	1.203772254e-06
109	1.13250322e-06
110	1.064590213e-06
111	9.780337737e-07
112	9.193683839e-07
113	8.541702682e-07
114	8.228788783e-07
115	7.884126922e-07
116	7.310816554e-07
117	7.02133006e-07
118	6.7348326e-07
119	6.349153318e-07
120	6.13946105e-07
121	5.809268886e-07
122	5.365267954e-07
123	5.059001323e-07
124	4.878830247e-07
125	4.66936303e-07
126	4.471111359e-07
127	4.339121988e-07
128	4.126256928e-07
129	3.941885451e-07
130	3.763101213e-07
131	3.538290289e-07
132	3.412476836e-07
133	3.298067527e-07
134	3.156192624e-07
135	3.055432098e-07
136	2.944454826e-07
137	2.877113023e-07
138	2.816790257e-07
139	2.706161129e-07
140	2.627946959e-07
141	2.561715805e-07
142	2.490037379e-07
143	2.416436995e-07
144	2.335008976e-07
145	2.273914379e-07
146	2.221753029e-07
147	2.157744115e-07
148	2.098751198e-07
