iter	Passed	Remaining
0	5	2376
1	9	1926
2	14	1909
3	17	1780
4	21	1698
5	25	1649
6	28	1616
7	32	1599
8	36	1596
9	40	1570
10	43	1545
11	47	1530
12	51	1526
13	54	1513
14	58	1493
15	61	1477
16	65	1470
17	68	1458
18	72	1447
19	75	1437
20	79	1432
21	83	1432
22	86	1422
23	89	1409
24	93	1402
25	97	1398
26	100	1390
27	104	1384
28	107	1376
29	110	1368
30	114	1368
31	118	1363
32	121	1355
33	125	1346
34	129	1347
35	132	1341
36	136	1334
37	139	1327
38	142	1323
39	146	1320
40	150	1318
41	153	1311
42	157	1304
43	161	1305
44	164	1300
45	168	1297
46	172	1292
47	175	1290
48	179	1285
49	183	1283
50	186	1278
51	191	1280
52	194	1276
53	198	1272
54	202	1268
55	206	1267
56	210	1264
57	213	1260
58	217	1255
59	221	1253
60	224	1249
61	228	1244
62	231	1239
63	235	1235
64	239	1234
65	243	1230
66	247	1227
67	250	1223
68	255	1224
69	258	1219
70	262	1214
71	265	1210
72	270	1209
73	273	1205
74	277	1202
75	281	1198
76	285	1196
77	288	1191
78	292	1187
79	296	1186
80	300	1184
81	304	1179
82	308	1179
83	312	1176
84	316	1173
85	320	1169
86	324	1167
87	328	1165
88	332	1163
89	336	1159
90	340	1157
91	345	1155
92	349	1153
93	352	1149
94	357	1147
95	362	1146
96	366	1143
97	369	1139
98	374	1137
99	378	1135
100	382	1133
101	386	1129
102	390	1126
103	395	1124
104	399	1122
105	403	1118
106	408	1117
107	412	1115
108	416	1112
109	421	1110
110	426	1109
111	429	1105
112	433	1101
113	437	1098
114	442	1096
115	446	1093
116	450	1089
117	455	1088
118	459	1085
119	464	1083
120	468	1079
121	472	1076
122	476	1072
123	480	1070
124	484	1066
125	489	1064
126	492	1059
127	494	1050
128	497	1045
129	501	1041
130	505	1037
131	508	1032
132	512	1028
133	516	1024
134	520	1021
135	523	1017
136	527	1012
137	531	1009
138	535	1005
139	539	1001
140	542	997
141	547	993
142	550	989
143	554	985
144	557	980
145	562	977
146	565	973
147	569	969
148	573	965
149	577	961
150	581	958
151	584	954
152	588	950
153	592	946
154	596	943
155	600	939
156	604	935
157	608	932
158	612	928
159	616	924
160	620	920
161	624	916
162	627	912
163	631	908
164	635	905
165	639	901
166	643	897
167	646	893
168	650	888
169	654	884
170	658	881
171	661	877
172	665	873
173	669	869
174	673	865
175	677	862
176	680	857
177	685	854
178	689	850
179	692	846
180	696	842
181	700	838
182	704	835
183	709	832
184	712	828
185	717	825
186	721	821
187	725	818
188	729	814
189	733	811
190	738	807
191	743	804
192	746	800
193	751	798
194	756	794
195	759	790
196	763	787
197	768	783
198	772	780
199	776	776
200	780	773
201	784	769
202	789	766
203	793	762
204	797	759
205	802	755
206	807	752
207	811	748
208	814	744
209	819	741
210	823	737
211	827	734
212	832	730
213	836	727
214	838	721
215	843	718
216	847	714
217	851	711
218	856	707
219	860	703
220	864	700
221	868	696
222	872	692
223	875	688
224	880	684
225	883	680
226	887	676
227	891	672
228	895	668
229	900	665
230	904	661
231	908	657
232	912	653
233	915	649
234	920	646
235	924	642
236	927	638
237	931	634
238	935	630
239	939	626
240	943	622
241	947	618
242	951	614
243	955	610
244	959	607
245	963	603
246	967	599
247	971	595
248	974	591
249	979	587
250	983	583
251	987	579
252	990	575
253	994	571
254	999	568
255	1003	564
256	1007	560
257	1012	557
258	1015	553
259	1020	549
260	1024	545
261	1028	541
262	1032	537
263	1036	533
264	1040	529
265	1044	526
266	1048	522
267	1052	518
268	1055	514
269	1060	510
270	1064	506
271	1068	502
272	1072	498
273	1076	494
274	1080	491
275	1084	487
276	1088	483
277	1092	479
278	1096	475
279	1100	471
280	1104	467
281	1108	463
282	1112	459
283	1115	455
284	1119	451
285	1123	448
286	1127	444
287	1132	440
288	1137	436
289	1141	433
290	1145	429
291	1149	425
292	1154	421
293	1159	418
294	1163	414
295	1167	410
296	1171	406
297	1175	402
298	1180	398
299	1184	394
300	1188	390
301	1192	387
302	1197	383
303	1202	379
304	1206	375
305	1210	371
306	1215	368
307	1218	364
308	1223	360
309	1227	356
310	1231	352
311	1235	348
312	1239	344
313	1244	340
314	1248	336
315	1252	332
316	1255	328
317	1260	325
318	1265	321
319	1268	317
320	1272	313
321	1277	309
322	1282	305
323	1285	301
324	1290	297
325	1294	293
326	1299	290
327	1302	285
328	1307	282
329	1311	278
330	1315	274
331	1319	270
332	1324	266
333	1327	262
334	1332	258
335	1336	254
336	1341	250
337	1345	246
338	1349	242
339	1353	238
340	1357	234
341	1360	230
342	1364	226
343	1367	222
344	1372	218
345	1376	214
346	1380	210
347	1383	206
348	1388	202
349	1392	198
350	1395	194
351	1399	190
352	1403	186
353	1407	182
354	1412	178
355	1416	175
356	1421	171
357	1424	167
358	1428	163
359	1432	159
360	1437	155
361	1441	151
362	1445	147
363	1449	143
364	1453	139
365	1457	135
366	1460	131
367	1464	127
368	1468	123
369	1473	119
370	1477	115
371	1481	111
372	1485	107
373	1488	103
374	1492	99
375	1496	95
376	1500	91
377	1503	87
378	1507	83
379	1511	79
380	1514	75
381	1518	71
382	1522	67
383	1527	63
384	1530	59
385	1534	55
386	1538	51
387	1542	47
388	1546	43
389	1549	39
390	1553	35
391	1557	31
392	1561	27
393	1564	23
394	1568	19
395	1571	15
396	1575	11
397	1579	7
398	1582	3
399	1586	0
