iter	RMSE
0	28.15364126
1	28.13903371
2	28.13663908
3	28.13560713
4	28.1341337
5	28.12627471
6	28.12445455
7	28.12173688
8	28.12085654
9	28.11559511
10	28.11316238
11	28.10976481
12	28.09661199
13	28.09530775
14	28.09404934
15	28.09235822
16	28.09072544
17	28.08751003
18	28.08561662
19	28.08421388
20	28.08262839
21	28.08136452
22	28.07833198
23	28.07706338
24	28.07543164
25	28.0684083
26	28.05446446
27	28.05298976
28	28.05076882
29	28.04908393
30	28.04767936
31	28.04599661
32	28.04478819
33	28.04316178
34	28.04040422
35	28.03805528
36	28.03646757
37	28.03501906
38	28.0336157
39	28.03233508
40	28.03088572
41	28.02942958
42	28.02466946
43	28.02054507
44	28.01922009
45	28.01767261
46	28.01652669
47	28.0034118
48	27.99033148
49	27.98916145
50	27.98523144
51	27.98361228
52	27.98230372
53	27.98117948
54	27.97991164
55	27.97886154
56	27.97679046
57	27.9757613
58	27.97198047
59	27.96479698
60	27.96300388
61	27.96188154
62	27.9604945
63	27.95919203
64	27.95790372
65	27.95730463
66	27.94985104
67	27.94845101
68	27.9470168
69	27.94563378
70	27.93199438
71	27.93066459
72	27.92874192
73	27.92749877
74	27.92528407
75	27.92400654
76	27.9102369
77	27.90810091
78	27.90681555
79	27.90580382
80	27.90462309
81	27.90353953
82	27.90249748
83	27.90024863
84	27.89930687
85	27.89810066
86	27.89661184
87	27.89563339
88	27.89436529
89	27.893401
90	27.88631085
91	27.8733079
92	27.87193664
93	27.87076761
94	27.86731303
95	27.85430349
96	27.85295334
97	27.85096374
98	27.84977549
99	27.83609435

