iter	Passed	Remaining
0	0	76
1	1	70
2	2	65
3	2	62
4	3	59
5	3	58
6	4	56
7	4	55
8	5	54
9	5	53
10	6	52
11	7	53
12	7	52
13	8	51
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	13	43
24	14	43
25	14	42
26	15	41
27	15	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	25	30
46	26	29
47	28	30
48	28	30
49	29	29
50	31	30
51	32	29
52	33	29
53	34	29
54	35	28
55	36	29
56	37	28
57	38	27
58	39	27
59	40	27
60	41	26
61	41	25
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	46	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	13
81	56	12
82	57	11
83	58	11
84	59	10
85	61	9
86	62	9
87	63	8
88	64	8
89	65	7
90	66	6
91	68	5
92	68	5
93	69	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
