Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (¶Ãm),Carbon Paper/Glassy Carbon,Electrode Area cm2,Electrolyte pH,FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) ¶«=E-Eo,CO£¨-0.11 eV£¨Formate£¨-0.011",Overpotential (V),Maximum FE,Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Density at Maximum FE (mA/cm2),TOF Reported (h-1),CLCD@MFE
55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,5.9,13.9,5,47.74,31.34,17.88,3.04,1.07,118,1,800,2,2,0,0.1,2,177.8,1,1,6.8,91.61,82.35,72.59,57.77,43.86,-0.46,-0.35,0.35,96.6,2.1904,3.351,4.287,4.365,4.154,1.9,,0
55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,9.9,23.9,4,58.52,23.15,12.44,5.88,1.13,23,1,800,2,2,0,0.1,2,177.8,1,1,6.8,60.63,65.56,59.85,50.29,42.19,-0.56,-0.45,0.45,66,0.1872,0.3568,0.4878,0.5818,0.5905,0.28,,0
55.845,26,7.83,1.83,6,1,0,0,0,0,0,0,1.78,4.72,4,49.17,15.13,28.89,6.8,0.94,461,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,87.32553,81.04055,57.21845,33.39635,9.57425,-0.5,-0.39,0.39,87.32,3.01708,6.99614,8.30354,8.62566,8.94778,3.01708,1099,0
58.93,27,7.81,1.88,7,1,0,0,0,0,0,0,1.57,4.76,4,41.58,17.59,25.91,14.9,0.93,448,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,12.28592,17.17705,17.32911,15.50443,13.12223,-0.7,-0.59,0.59,17.33,0.19384,1.1886,2.3918,3.90763,5.42346,2.3918,1058,0
58.693,28,7.61,1.91,8,1,0,0,0,0,0,0,1.75,4.94,4,46.79,16.83,24.89,11.49,0.92,451,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,55.95132,85.09537,94.47216,96.5756,94.04133,-0.8,-0.69,0.69,96.8,0.98018,6.16243,17.15221,28.98518,40.81815,28.98518,11315,2
63.546,29,7.69,1.9,10,1,0,0,0,0,0,0,1.43,4.82,4,49.51,17.07,24.56,8.84,0.94,459,0,800,2,5.333,0,0.5,0.3,127,1,1,7.2,11.42427,13.80648,12.6914,10.30919,6.96396,-0.6,-0.49,0.49,13.8,0.001,0.03278,0.13699,0.29805,0.45911,0.29805,24.5,0
55.845,26,7.83,1.83,6,0,0,1,0,0,0,0,5.044,4.884,4,61.92,21.76,13.81,2.51,1.03,651.9364056,0,25,24,0,0,0.1,0.2,177.8,1,1,6.8,91.8,89.7,82.1,76.5,70.9,-0.5,-0.39,0.39,91.8,1.12,1.67,1.87,2.07,2.27,1.12,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.54,5.382165047,5,20.901,41.239,37.86,0,1.279560547,568,0,25,24,2,0,0.2,0.3,177.8,1,1.437227069,7,83.6,91.98,97.11,98.66,88.99,-0.73,-0.62,0.62,99.2,,,4.5,,,4.5,480.5,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.82,8.900250026,5,40.73171633,18.40244602,32.14477425,8.664845894,1.155020745,529.4640969,0,400,2,2,0,0.2,0.3,177.8,1,0.897708239,7,76.08,89.59,93.15,91.54,74.22,-0.7,-0.59,0.59,93.15,,,2.26,,,2.26,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,3.18,8.724496581,5,41.55130663,18.97100134,30.44229886,8.71096451,1.173577049,574.6732444,0,600,2,2,0,0.2,0.3,177.8,1,0.955323921,7,56.24,87.74,90.05,82.15,41.2,-0.7,-0.59,0.59,90.05,,,2.35,,,2.35,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,4.54,8.265691229,5,41.13242312,19.65648581,31.22343585,7.894962306,1.148786719,583.2846909,0,800,2,2,0,0.2,0.3,177.8,1,0.729920462,7,8.92,15.73,17.59,8.61,-0.37,-0.7,-0.59,0.59,17.59,,,2.48,,,2.48,,0
58.93,27,7.81,1.88,7,0,1,0,0,0,0,0,8.01,6.526925691,5,32.47683242,9.537548777,50.40273921,8.595241404,1.144257351,676.4285953,0,1000,2,2,0,0.2,0.3,177.8,1,0.910772112,7,29.55,40.86,41.34,25.99,10.62,-0.7,-0.59,0.59,41.34,,,1.52,,,1.52,,0
55.845,26,7.83,1.83,6,0,0,0,0,1,0,0,2.68,9.162448165,5,39.65578424,11.62171753,9.066713982,0,1.2,687.2452256,0,700,4,5,0,0.5,1,177.8,1,1,7.2,87.492,94.292,93.494,77.639,60.604,-0.6,-0.49,0.49,95.47,0.38,2.24,5.1,7.3,8.6,2.24,,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.37,4.32,4.5,26.7,15.9,57.3,0,1.05,1220,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,74.946,83.455,91.964,95.228,95.683,-1,-0.89,0.89,95.23,0.001,1.164,3.946,5.202,8.271,10.5,15550,1
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.44,6.28,4,32.9,8.9,58.2,0,1.05,924,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,76.263,76.861,77.459,85.068,81.264,-0.8,-0.69,0.69,85.068,0.001,0.579,1.824,3.813,5.061,3.813,4821,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.59,5.33,4,33.2,10.1,56.6,0,1.05,757,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,61.642,73.056,84.47,89.661,85.394,-0.8,-0.69,0.69,89.661,0.001,0.485,2.114,4.484,6.055,4.484,4142,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.14,6.47,4,39.5,7.2,53.3,0,1.05,445,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,60.826,70.746,80.666,87.378,92.08,-0.9,-0.79,0.79,92.08,0.001,0.073,0.198,0.579,1.317,1.317,5381,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.26,6.86,4,28.8,16.5,54.7,0,1.01,878,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,54.309,64.242,74.175,75.822,77.469,-0.9,-0.79,0.79,77.469,0.001,0.363,0.965,1.602,1.784,1.784,3656,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.31,4.63,4,25.3,10.8,65.9,0,1.01,1068,0,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,67.291,75.011,82.731,93.475,82.042,-0.8,-0.69,0.69,93.475,0.001,1.166,3.3,6.491,8.316,6.491,8676,0
58.693,28,7.61,1.91,8,0,1,0,0,0,0,0,0.42,4.44,4,32.6,6.7,60.8,0,1.04,1650,1,800,5,2,0,0.5,0.255,177.8,0,0.785,7.2,63.701,66.307,63.701,61.218,57.358,-0.6,-0.49,0.49,66.307,0.001,0.818,2.149,3.499,4.322,0.818,919,0
