iter	Logloss
0	0.6930499709
1	0.6929547522
2	0.6928528138
3	0.6927520624
4	0.6926610299
5	0.6925660971
6	0.6924757268
7	0.6923751595
8	0.6922909477
9	0.6921911091
10	0.6921160261
11	0.692016846
12	0.6919171105
13	0.6917970153
14	0.6917010865
15	0.6915993759
16	0.691495209
17	0.6913671385
18	0.6912654134
19	0.691173799
20	0.6910763912
21	0.6909852158
22	0.6908673129
23	0.6907513269
24	0.6906502751
25	0.6905523515
26	0.6904501206
27	0.6903461902
28	0.690248388
29	0.6901383423
30	0.69005531
31	0.6899794889
32	0.6898916801
33	0.6898063313
34	0.6897152337
35	0.6896401404
36	0.689554936
37	0.6894733718
38	0.6893750957
39	0.6892689259
40	0.6891752086
41	0.689077031
42	0.6889688159
43	0.6888671743
44	0.688776473
45	0.6886777635
46	0.6885874181
47	0.6884952853
48	0.6883959649
49	0.6883087533
353
