iter	RMSE
0	0.1562158319
1	0.1561992993
2	0.1561878521
3	0.1561781972
4	0.1561638502
5	0.1561552415
6	0.1561411827
7	0.1561272159
8	0.1561104133
9	0.1561011773
10	0.1560891738
11	0.1560753443
12	0.1560628182
13	0.1560511749
14	0.1560391931
15	0.1560250622
16	0.1560127509
17	0.1559990687
18	0.1559878884
19	0.1559751451
20	0.1559620354
21	0.1559505153
22	0.1559385735
23	0.1559233311
24	0.155913484
25	0.1558998092
26	0.1558875945
27	0.1558723909
28	0.1558629495
29	0.1558511618
30	0.1558369132
31	0.1558238339
32	0.1558100937
33	0.155798225
34	0.1557884615
35	0.15577245
36	0.1557546902
37	0.1557482444
38	0.155735046
39	0.1557193934
40	0.1557069432
41	0.1556947358
42	0.1556829632
43	0.1556702043
44	0.1556596044
45	0.1556484135
46	0.1556338498
47	0.1556257427
48	0.1556138969
49	0.1555968254
50	0.1555850997
51	0.1555730418
52	0.1555638693
53	0.1555527333
54	0.1555404284
55	0.1555332073
56	0.1555216865
57	0.155507959
58	0.15549777
59	0.1554834426
60	0.1554670675
61	0.1554568746
62	0.1554458784
63	0.1554381304
64	0.1554274504
65	0.1554139625
66	0.1554056741
67	0.155399601
68	0.1553883964
69	0.1553786337
70	0.1553665737
71	0.1553529706
72	0.1553411355
73	0.1553296321
74	0.1553196112
75	0.1553062602
76	0.1552968922
77	0.1552851883
78	0.1552724017
79	0.1552588411
80	0.1552484415
81	0.155233812
82	0.15522241
83	0.1552100333
84	0.155201901
85	0.1551888575
86	0.1551815126
87	0.1551685026
88	0.1551601574
89	0.1551466428
90	0.1551390375
91	0.1551291144
92	0.15512029
93	0.1551081407
94	0.1550963893
95	0.1550835523
96	0.1550730653
97	0.1550615931
98	0.1550527556
99	0.155040879
0368097
