iter	Passed	Remaining
0	0	71
1	1	63
2	1	60
3	2	59
4	3	57
5	3	55
6	4	54
7	4	52
8	5	51
9	5	50
10	6	49
11	6	49
12	7	49
13	7	48
14	8	47
15	8	47
16	9	46
17	10	46
18	10	45
19	11	45
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	33	22
60	33	21
61	34	20
62	36	21
63	37	21
64	38	20
65	40	21
66	44	21
67	46	21
68	48	21
69	49	21
70	50	20
71	51	20
72	52	19
73	54	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
181	7
96	183	5
97	185	3
98	186	1
99	188	0
	1
99	162	0
98	149	1
99	149	0
