iter	RMSE
0	0.8448754305
1	0.8447319529
2	0.8445897975
3	0.844467543
4	0.8443427862
5	0.8442196712
6	0.8441029696
7	0.8439715327
8	0.8438768021
9	0.8437665667
10	0.8436410075
11	0.8435522032
12	0.8434308427
13	0.8433349096
14	0.8432242895
15	0.8431249185
16	0.8430115783
17	0.8429004017
18	0.8427898949
19	0.8426756222
20	0.8425440265
21	0.8424627603
22	0.8423471795
23	0.8422082789
24	0.8421121365
25	0.8420090169
26	0.8419172972
27	0.8417901193
28	0.8417018124
29	0.8415921233
30	0.8414476232
31	0.8413264269
32	0.8412101866
33	0.8411013513
34	0.8409859176
35	0.8408635029
36	0.8407633963
37	0.8406150788
38	0.8405172853
39	0.8403932968
40	0.8402939063
41	0.8402077009
42	0.8400958195
43	0.8399803848
44	0.8398757415
45	0.8397535366
46	0.8396413352
47	0.8395374799
48	0.8393911895
49	0.8392996354
