iter	Passed	Remaining
0	3	343
1	91	4485
2	177	5737
3	263	6315
4	283	5378
5	364	5705
6	446	5932
7	523	6025
8	599	6057
9	671	6043
10	747	6045
11	820	6018
12	892	5970
13	963	5915
14	1035	5867
15	1111	5834
16	1185	5788
17	1262	5749
18	1334	5689
19	1407	5631
20	1479	5564
21	1550	5496
22	1620	5424
23	1691	5356
24	1764	5292
25	1837	5230
26	1907	5157
27	1979	5089
28	2048	5016
29	2121	4950
30	2191	4877
31	2260	4802
32	2329	4728
33	2408	4676
34	2481	4607
35	2552	4537
36	2621	4463
37	2691	4391
38	2761	4318
39	2830	4246
40	2899	4172
41	2968	4099
42	3037	4026
43	3045	3876
44	3113	3805
45	3182	3736
46	3251	3667
47	3329	3606
48	3399	3538
49	3470	3470
50	3544	3405
51	3620	3342
52	3692	3274
53	3764	3206
54	3839	3141
55	3909	3071
56	3981	3003
57	4054	2936
58	4128	2868
59	4201	2800
60	4272	2731
61	4342	2661
62	4414	2592
63	4497	2529
64	4566	2459
65	4639	2390
66	4711	2320
67	4784	2251
68	4863	2185
69	4949	2121
70	5025	2052
71	5099	1983
72	5176	1914
73	5250	1844
74	5323	1774
75	5392	1703
76	5464	1632
77	5535	1561
78	5606	1490
79	5677	1419
80	5747	1348
81	5751	1262
82	5820	1192
83	5891	1122
84	5962	1052
85	6032	982
86	6105	912
87	6176	842
88	6247	772
89	6317	701
90	6388	631
91	6458	561
92	6531	491
93	6604	421
94	6677	351
95	6695	278
96	6765	209
97	6838	139
98	6915	69
99	6987	0
