Ionization Potential, Electronegativity,0.19634433,,,,,,,,,,,,,,,,,,,,,,
Ionization Potential, Number of d electrons,0.151518297,,,,,,,,,,,,,,,,,,,,,,
Ionization Potential, ZIF or MOF Derived,0.087997864,,,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Pyrolysis Temperature (°„C),Pyrolysis Time (h),Rising Rate (°„C min-1),Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Electrolyte pH
Ionization Potential, Carbon Nanofiber/Nanotubes,0.038279447,,Ionization Potential,,,,,,,,,,,,,,,,,,,,
Ionization Potential, Carbon Black Derived,0.043214681,,Electronegativity,0.19634433,,,,,,,,,,,,,,,,,,,
Ionization Potential, Biomass or other Organic Derived,0.010510185,,Number of d electrons,0.151518297,0.011739043,,,,,,,,,,,,,,,,,,
Ionization Potential, Main Transition Metal Content wt. %,0.272575272,,ZIF or MOF Derived,0.087997864,0.262823081,0.065088997,,,,,,,,,,,,,,,,,
Ionization Potential, Nitrogen Cotent wt. %,0.146501451,,Carbon Nanofiber/Nanotubes,0.038279447,0.054245748,0.042873069,0.001399242,,,,,,,,,,,,,,,,
Ionization Potential, Metal-N Coordination Number XAS,0.101247289,,Carbon Black Derived,0.043214681,0.006981457,0.001425159,9.59E-07,4.92E-06,,,,,,,,,,,,,,,
Ionization Potential, Pyridinic N Ratio,0.197380523,,Biomass or other Organic Derived,0.010510185,0.028078918,0.010345481,0.007815879,2.26E-06,1.04E-05,,,,,,,,,,,,,,
Ionization Potential, Pyrrolic N Ratio,0.162880551,,Main Transition Metal Content (wt. %),0.272575272,0.186485297,0.029455537,0.131467878,0.152221667,0.043567405,0.15538065,,,,,,,,,,,,,
Ionization Potential, Raman ID/IG Ratio,0.1799937,,Nitrogen Cotent (wt. %),0.146501451,0.262324571,0.146072852,0.297153154,0.069149802,0.017624943,0.035602203,0.124376242,,,,,,,,,,,,
Ionization Potential, BET Surface Area m2/g,0.103159503,,Metal-N Coordination Number (XAS),0.101247289,0.354195063,0.155793638,0.200053402,0.027519119,0.003861606,0.278352555,0.166150212,0.145489039,,,,,,,,,,,
Ionization Potential, Pyrolysis Temperature °„C,0.260386549,,Pyridinic N Ratio,0.197380523,0.287822965,0.102780847,0.286035306,0.11210584,0.00936279,0.017742859,0.144110925,0.102314085,0.160485087,,,,,,,,,,
Ionization Potential, Pyrolysis Time h,0.114943371,,Pyrrolic N Ratio,0.162880551,0.112922982,0.167980166,0.152207038,0.053579297,0.262385657,0.041362813,0.114122127,0.121395082,0.074616227,0.143308337,,,,,,,,,
Ionization Potential, Rising Rate °„C min-1,0.085314282,,Raman ID/IG Ratio,0.1799937,0.13923063,0.081284719,0.026834398,0.130036149,0.005614747,0.024108609,0.111301444,0.165340346,0.108731364,0.082946648,0.123342741,,,,,,,,
Ionization Potential, Electrolyte Concentration M,0.055618301,,BET Surface Area (m2/g),0.103159503,0.186604517,0.074133868,0.160493705,0.042729323,0.022561815,0.011164752,0.147303592,0.141601405,0.120826966,0.134710985,0.12703345,0.106635065,,,,,,,
Ionization Potential, Catalyst Loading mg cm-2,0.12814218,,Pyrolysis Temperature (°„C),0.260386549,0.336503262,0.059149564,0.094021751,0.032630218,0.105700842,0.048860835,0.096763459,0.128167463,0.10136289,0.093727397,0.181832643,0.316324541,0.132436986,,,,,,
Ionization Potential, Electrolyte pH,0.187544718,,Pyrolysis Time (h),0.114943371,0.160485696,0.066851372,0.028528028,0.056629757,0.000452395,0.015182121,0.176284552,0.061073522,0.388133112,0.062373531,0.067364448,0.040027941,0.059481316,0.042593887,,,,,
Electronegativity, Number of d electrons,0.011739043,,Rising Rate (°„C min-1),0.085314282,0.066206168,0.100505477,0.055920312,0.233478062,0.058954649,0.044840724,0.215848498,0.109995677,0.074619267,0.0756556,0.08345716,0.175405434,0.19769941,0.203205111,0.0724142,,,,
Electronegativity, ZIF or MOF Derived,0.262823081,,Electrolyte Concentration (M),0.055618301,0.05508986,0.001619654,0.036987075,7.86E-06,0,0.269577326,0.044065568,0.016340623,0.013328103,0.035174312,0.074355827,0.035743296,0.196204257,0.064434179,1.01E-06,0.09503533,,,
Electronegativity, Carbon Nanofiber/Nanotubes,0.054245748,,Catalyst Loading (mg cm-2),0.12814218,0.087832487,0.071636951,0.309444474,0.04173172,0.055005008,0.001957003,0.079832727,0.077865097,0.144615078,0.04191244,0.100085421,0.063554045,0.105768722,0.04258063,0.099907308,0.124149262,0.064643312,,
Electronegativity, Carbon Black Derived,0.006981457,,Electrolyte pH,0.187544718,0.114533886,0.050497599,0.093904993,0.163442046,2.95E-06,0.023299671,0.191748003,0.055148407,0.056681536,0.051826804,0.055849965,0.083449775,0.053710077,0.180621219,0.063220785,0.058871266,0.012615965,0.084855293,
Electronegativity, Biomass or other Organic Derived,0.028078918,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Main Transition Metal Content wt. %,0.186485297,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Nitrogen Cotent wt. %,0.262324571,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Metal-N Coordination Number XAS,0.354195063,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Pyridinic N Ratio,0.287822965,,,,,,,,,,,,,,,,,,,,,,
Electronegativity, Pyrrolic N Ratio,0.112922982,,,,,,,,,,,,,,,,,,,,,,
