iter	Passed	Remaining
0	2	240
1	3	193
2	5	176
3	6	166
4	8	160
5	9	155
6	11	153
7	13	151
8	14	147
9	16	144
10	17	141
11	19	139
12	20	137
13	22	136
14	23	133
15	25	131
16	26	129
17	28	127
18	29	125
19	30	123
20	32	122
21	33	120
22	35	118
23	36	117
24	38	115
25	39	113
26	41	111
27	42	110
28	44	109
29	45	107
30	47	105
31	48	103
32	50	102
33	51	100
34	53	99
35	54	97
36	56	96
37	58	94
38	59	93
39	61	91
40	62	89
41	63	88
42	65	86
43	66	85
44	68	83
45	69	82
46	71	80
47	72	79
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	83	68
55	85	67
56	86	65
57	88	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	47
69	106	45
70	107	44
71	109	42
72	111	41
73	112	39
74	114	38
75	116	36
76	118	35
77	119	33
78	121	32
79	122	30
80	124	29
81	125	27
82	127	26
83	128	24
84	130	22
85	131	21
86	133	19
87	134	18
88	136	16
89	137	15
90	139	13
91	140	12
92	142	10
93	143	9
94	145	7
95	147	6
96	148	4
97	150	3
98	151	1
99	153	0
