"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",4.09333333333333,252,"BET:BET",3.16
"BET","CL",3.63338187702265,251,"CL:BET",3.16
"BET","ENEG",2.96036213182582,287,"ENEG:BET",3.16
"BET","EPH",4.48802588996764,221,"EPH:BET",3.16
"BET","IP",3.82110704829151,258,"IP:BET",3.16
"BET","MNN",2.69287216828479,296,"MNN:BET",3.16
"BET","MT",2.22523462783171,308,"MT:BET",3.16
"BET","NC",3.79338187702265,247,"NC:BET",3.16
"BET","NDE",4.71801340366435,195,"NDE:BET",3.16
"BET","PTEMP",4.09427184466019,217,"PTEMP:BET",3.16
"BET","PTIME",4.18423948220065,183,"PTIME:BET",3.16
"BET","PYRID",4.06433656957929,245,"PYRID:BET",3.16
"BET","PYRRO",3.64736245954693,251,"PYRRO:BET",3.16
"BET","RAMAN",4.13907766990291,199,"RAMAN:BET",3.16
"BET","RR",3.7881715210356,192,"RR:BET",3.16
"BIO","BET",8.38588996763754,132,"BET:BIO",7.8293875
"BIO","CL",7.99395631067961,150,"CL:BIO",7.8293875
"BIO","ENEG",7.93033468518291,222,"ENEG:BIO",7.8293875
"BIO","EPH",8.14385113268608,122,"EPH:BIO",7.8293875
"BIO","IP",8.99588114151221,169,"IP:BIO",7.8293875
"BIO","MNN",9.18431229773463,182,"MNN:BIO",7.8293875
"BIO","MT",8.51363268608414,194,"MT:BIO",7.8293875
"BIO","NC",8.13903721682848,124,"NC:BIO",7.8293875
"BIO","NDE",7.74932259681132,127,"NDE:BIO",7.8293875
"BIO","PTEMP",7.23838996763754,94,"PTEMP:BIO",7.8293875
"BIO","PTIME",6.69771844660194,80,"PTIME:BIO",7.8293875
"BIO","PYRID",7.66700647249191,115,"PYRID:BIO",7.8293875
"BIO","PYRRO",8.35284789644013,145,"PYRRO:BIO",7.8293875
"BIO","RAMAN",7.05697411003236,91,"RAMAN:BIO",7.8293875
"BIO","RR",6.52966019417476,80,"RR:BIO",7.8293875
"CBLACK","BET",8.48517799352751,118,"BET:CBLACK",8.7289125
"CBLACK","CL",8.63045307443366,137,"CL:CBLACK",8.7289125
"CBLACK","ENEG",9.4048584654459,189,"ENEG:CBLACK",8.7289125
"CBLACK","EPH",8.15695792880259,119,"EPH:CBLACK",8.7289125
"CBLACK","IP",9.10322363720422,164,"IP:CBLACK",8.7289125
"CBLACK","MNN",9.54054207119741,172,"MNN:CBLACK",8.7289125
"CBLACK","MT",9.21439320388349,168,"MT:CBLACK",8.7289125
"CBLACK","NC",8.02095469255663,119,"NC:CBLACK",8.7289125
"CBLACK","NDE",7.85006243151645,117,"NDE:CBLACK",8.7289125
"CBLACK","PTEMP",7.37383495145631,83,"PTEMP:CBLACK",8.7289125
"CBLACK","PTIME",6.51648867313916,80,"PTIME:CBLACK",8.7289125
"CBLACK","PYRID",7.95631067961165,109,"PYRID:CBLACK",8.7289125
"CBLACK","PYRRO",8.83980582524272,109,"PYRRO:CBLACK",8.7289125
"CBLACK","RAMAN",6.88227346278317,88,"RAMAN:CBLACK",8.7289125
"CBLACK","RR",6.44778317152104,60,"RR:CBLACK",8.7289125
