iter	MultiClass
0	1.026089003
1	0.970938776
2	0.9175451439
3	0.8780849282
4	0.840965064
5	0.8070269465
6	0.7779436349
7	0.7485514649
8	0.719386368
9	0.6983389953
10	0.6756788295
11	0.6536099436
12	0.6304225771
13	0.6137104607
14	0.6055639679
15	0.5910669569
16	0.57569545
17	0.5590865697
18	0.5422877777
19	0.5293563712
20	0.5195609739
21	0.5097568231
22	0.5012641358
23	0.4865698138
24	0.4797626439
25	0.4727917747
26	0.4670765533
27	0.4596550181
28	0.4518173558
29	0.4439684303
30	0.4364875582
31	0.4306329036
32	0.4204309128
33	0.4116938047
34	0.4065667315
35	0.4027496187
36	0.3978292248
37	0.3928155992
38	0.3879444256
39	0.3804506591
40	0.3751782831
41	0.3710549724
42	0.365732789
43	0.361065699
44	0.3567570367
45	0.3530641696
46	0.347491755
47	0.3416713232
48	0.3350924468
49	0.3286927043
