iter	Passed	Remaining
0	135	6658
1	138	3334
2	142	2230
3	146	1680
4	149	1348
5	153	1127
6	157	964
7	160	840
8	163	745
9	167	669
10	170	604
11	173	549
12	176	502
13	180	464
14	181	423
15	185	394
16	188	365
17	191	340
18	195	318
19	198	297
20	201	278
21	204	260
22	207	243
23	211	228
24	214	214
25	217	200
26	220	187
27	223	175
28	227	164
29	230	153
30	234	143
31	237	133
32	240	123
33	244	114
34	247	105
35	250	97
36	253	89
37	256	81
38	260	73
39	263	65
40	272	59
41	276	52
42	279	45
43	282	38
44	285	31
45	289	25
46	292	18
47	295	12
48	298	6
49	301	0
