index_label,Ionization Potential,Electronegativity,Number of d electrons,ZIF or MOF Derived,Polymer Derived,Carbon Nanofiber/Nanotubes,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),Pyridinic N Ratio,Pyrrolic N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Pyrolysis Temperature (°C),Pyrolysis Time (h),Rising Rate (°C min-1),Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane Thickness (μm),Carbon Paper/Glassy Carbon,Electrolyte pH,ovpCL
535,7.61,1.91,8,0,0,0,0,0.86,5.03,3.4,30.59753546,46.43106254,0.97,1009.2,1000,1.0,7.677760104,0.1,0.833,177.8,1,6.8,1
444,7.61,1.91,8,0,1,0,0,3.01,2.58,4.0,31.78294574,10.07751938,0.992,628.0,800,2.5,5.0,0.1,1.0,177.8,1,6.8,2
266,7.83,1.83,6,1,0,0,0,0.16,10.1,4.0,63.862496,16.90776129,1.03,678.2,950,2.0,4.212221209,0.5,1.0,177.8,1,7.2,0
459,0.0,0.0,0,0,0,0,0,0.0,3.13531,0.0,39.67709732,26.00125665,0.99,726.0,600,0.5,1.0,0.1,0.8,177.8,1,6.8,0
472,7.61,1.91,8,0,0,1,0,2.723524824,6.306607453,4.0,42.32,15.78,1.02,314.4,900,2.0,2.0,0.5,0.2,177.8,0,7.3,1
214,7.61,1.91,8,0,0,1,0,7.18,5.727205076,4.0,48.90811356,16.67226608,1.022260723,620.4287328,1000,2.0,5.0,0.5,0.8,177.8,1,7.2,1
548,7.83,1.83,6,0,0,0,0,1.64,4.404474377,4.0,26.98,18.46,1.034,808.3604164,1000,2.0,5.0,0.5,1.0,177.8,1,7.2,0
293,7.61,1.91,8,0,1,0,0,5.0,4.890768374,4.0,44.54040716,0.0,1.289380073,791.9699768,750,2.0,3.0,0.1,0.2,177.8,0,6.8,1
259,7.61,1.91,8,0,1,0,0,0.472082045,1.139508384,2.4,37.05744431,34.75967175,1.080572645,133.0,1200,3.0,4.205737598,0.1,0.719709098,177.8,1,6.8,1
84,0.0,0.0,0,1,0,0,0,0.0,2.776728994,0.0,36.79,0.0,0.98,768.0,1100,1.0,6.060807798,0.1,0.6,127.0,1,6.8,1
62,7.83,1.83,6,0,0,0,0,2.157810922,4.935546221,4.0,37.2,21.4,0.99,570.0001165,800,2.0,2.0,0.5,2.5,177.8,1,7.65,0
8,7.83,1.83,6,0,0,0,0,3.03,6.216885976,5.0,45.44372138,22.08075383,1.128950691,693.1074976,25,24.0,2.0,0.2,0.3,177.8,1,7.0,0
298,7.37,1.96,10,0,1,0,0,1.54839972,1.380985766,4.0,0.0,0.0,1.159866736,598.1531838,1100,2.0,3.0,0.1,0.325,177.8,1,6.8,1
132,7.83,1.83,6,0,0,0,0,1.54,4.131825665,4.4,45.55386289,16.88139282,1.05,1059.0,800,2.0,5.0,0.5,2.0,127.0,1,7.2,0
234,7.69,1.9,10,0,0,0,0,0.27,5.705748408,4.0,35.23523524,34.63463463,1.0232491,712.0,975,0.75,5.382588801,0.1,0.4,177.8,0,7.5,1
181,7.61,1.91,8,0,0,1,0,22.7,18.7,11.0,35.30510585,0.0,1.111397685,436.7824417,400,1.0,5.0,0.5,1.0,177.8,1,7.2,0
471,7.61,1.91,8,0,0,1,0,3.727039057,8.184439847,4.0,47.8,14.82,0.96,333.9,800,2.0,2.0,0.5,0.2,177.8,0,7.3,1
119,7.61,1.91,8,0,0,0,1,1.2,6.858753905,4.0,34.61342396,14.46049278,1.15682429,455.6586426,900,2.0,3.0,0.5,0.2,177.8,1,7.2,0
65,7.61,1.91,8,1,0,0,0,3.22,3.912861367,3.2,18.3,11.21,0.958405613,593.4888966,1000,3.0,10.0,0.1,0.608025058,127.0,0,6.8,0
115,6.5,1.22,1,1,0,0,0,0.38,9.169199268,3.0,43.28159645,5.554323725,1.109810731,925.89,1000,2.0,10.0,0.5,0.8,127.0,1,7.2,0
