iter	RMSE
0	0.8360005497
1	0.8131560894
2	0.7970124872
3	0.7722846786
4	0.7555827497
5	0.7342623973
6	0.7161330859
7	0.6989640733
8	0.6882178251
9	0.6725413587
10	0.6596989624
11	0.6515141616
12	0.6390021636
13	0.6261392183
14	0.6150437113
15	0.6036278601
16	0.596101319
17	0.5865858366
18	0.5798716779
19	0.572796817
20	0.5672144773
21	0.5587472761
22	0.5530157093
23	0.5455271788
24	0.5395845652
25	0.5333737603
26	0.5277408958
27	0.5230608238
28	0.5174532179
29	0.5132378398
30	0.5096208559
31	0.5054683596
32	0.4986618864
33	0.4941853261
34	0.489768462
35	0.4837874528
36	0.4797527718
37	0.4762335765
38	0.4713805349
39	0.4673120965
40	0.4645537602
41	0.4595224892
42	0.457609759
43	0.4552840785
44	0.4519141458
45	0.4484894402
46	0.4446917428
47	0.4428974396
48	0.4400248363
49	0.4370288581
50	0.4338735096
51	0.4312417024
52	0.4267690524
53	0.4236372776
54	0.4216239715
55	0.4191443535
56	0.4160827197
57	0.4134591329
58	0.4110306132
59	0.4072679863
60	0.4049145703
61	0.401549741
62	0.3978484243
63	0.3943694223
64	0.3915808534
65	0.3884765441
66	0.3859042451
67	0.3814491351
68	0.37907441
69	0.3782834419
70	0.3758207407
71	0.3736969584
72	0.3703341213
73	0.3666427146
74	0.3653177544
75	0.363594268
76	0.3603680028
77	0.3580592175
78	0.3563682725
79	0.355327713
80	0.3529308449
81	0.351808862
82	0.3496134043
83	0.3484137868
84	0.3467233289
85	0.3445630641
86	0.3417519029
87	0.3397692484
88	0.3370895017
89	0.3357933477
90	0.3341933465
91	0.3324995412
92	0.330279647
93	0.3287306966
94	0.3274984352
95	0.3256505347
96	0.3228401324
97	0.3205631849
98	0.3192193074
99	0.3181407819
100	0.3164231022
101	0.3147620948
102	0.3113766326
103	0.3085205177
104	0.3066893049
105	0.3039290624
106	0.3014673875
107	0.3004235927
108	0.299328076
109	0.2971705977
110	0.2957422054
111	0.2936331695
112	0.2920949567
113	0.2904335115
114	0.2896342254
115	0.2887452175
116	0.2866080082
117	0.2854585246
118	0.2847244705
119	0.2816971617
120	0.280200367
121	0.279093263
122	0.2775423615
123	0.2753876111
124	0.2739555999
125	0.2727932461
126	0.2712496306
127	0.2697462747
128	0.2681734785
129	0.2666324612
130	0.2652145593
131	0.2645081676
132	0.2627204142
133	0.2609971509
134	0.2601824155
135	0.2594808122
136	0.258421819
137	0.2572065637
138	0.2552975019
139	0.2541468805
140	0.2522063061
141	0.2509983118
142	0.2489627648
143	0.2481927789
144	0.2466514611
145	0.2451884561
146	0.2439307095
147	0.2430949229
148	0.2419711063
149	0.2407625536
150	0.2394267176
151	0.2380277779
152	0.2368670421
153	0.235887543
154	0.2353028852
155	0.2344215276
156	0.234045407
157	0.233631829
158	0.2326303231
159	0.231290727
160	0.2303496829
161	0.2297153497
162	0.2284095427
163	0.2277144169
164	0.2261305818
165	0.2247229196
166	0.2242465849
167	0.2235738205
168	0.2225496988
169	0.2222356794
170	0.2217784192
171	0.2208710379
172	0.2198818294
173	0.2195788803
174	0.2187895924
175	0.2178552034
176	0.2169290827
177	0.2164681588
178	0.2151923309
179	0.2148112796
180	0.2138316389
181	0.2128490742
182	0.2121437776
183	0.2114379083
184	0.2105263702
185	0.2098426282
186	0.2091735283
187	0.2082751796
188	0.2071766997
189	0.2063781306
190	0.2060762714
