"variable","root_variable","mean_min_depth","occurrences","interaction","uncond_mean_min_depth"
"BET","BET",4.64272965879265,217,"BET:BET",3.3075
"BET","CL",3.0963779527559,349,"CL:BET",3.3075
"BET","ENEG",3.69105369366518,319,"ENEG:BET",3.3075
"BET","EPH",4.74547918352311,221,"EPH:BET",3.3075
"BET","IP",4.69330674750927,257,"IP:BET",3.3075
"BET","MNN",4.75971128608924,248,"MNN:BET",3.3075
"BET","MT",2.70181102362205,377,"MT:BET",3.3075
"BET","NC",4.65041994750656,279,"NC:BET",3.3075
"BET","NDE",4.65048002951886,217,"NDE:BET",3.3075
"BET","PTEMP",4.47716535433071,245,"PTEMP:BET",3.3075
"BET","PTIME",4.26493359184373,155,"PTIME:BET",3.3075
"BET","PYRID",4.51732283464567,225,"PYRID:BET",3.3075
"BET","PYRRO",4.25512467191601,202,"PYRRO:BET",3.3075
"BET","RAMAN",4.28009186351706,187,"RAMAN:BET",3.3075
"BET","RR",3.62696850393701,166,"RR:BET",3.3075
"BIO","BET",7.14939632545932,55,"BET:BIO",8.8073625
"BIO","CL",9.76362204724409,167,"CL:BIO",8.8073625
"BIO","ENEG",8.83096585288648,144,"ENEG:BIO",8.8073625
"BIO","EPH",7.1933310967708,74,"EPH:BIO",8.8073625
"BIO","IP",8.55781399418096,105,"IP:BIO",8.8073625
"BIO","MNN",7.98438320209974,84,"MNN:BIO",8.8073625
"BIO","MT",9.77220472440945,225,"MT:BIO",8.8073625
"BIO","NC",9.22832020997375,123,"NC:BIO",8.8073625
"BIO","NDE",7.10455523298315,70,"NDE:BIO",8.8073625
"BIO","PTEMP",7.40400262467192,60,"PTEMP:BIO",8.8073625
"BIO","PTIME",5.29281578496155,36,"PTIME:BIO",8.8073625
"BIO","PYRID",7.29107611548556,57,"PYRID:BIO",8.8073625
"BIO","PYRRO",6.0645406824147,57,"PYRRO:BIO",8.8073625
"BIO","RAMAN",6.09856955380577,43,"RAMAN:BIO",8.8073625
"BIO","RR",4.99048556430446,34,"RR:BIO",8.8073625
"CL","BET",5.10152230971129,177,"BET:CL",1.9325
"CL","CL",5.08202099737533,306,"CL:CL",1.9325
"CL","ENEG",4.4756855141851,269,"ENEG:CL",1.9325
"CL","EPH",5.11908379873568,187,"EPH:CL",1.9325
"CL","IP",4.67652783712114,235,"IP:CL",1.9325
"CL","MNN",5.21653543307087,211,"MNN:CL",1.9325
"CL","MT",2.28912729658793,364,"MT:CL",1.9325
"CL","NC",4.74607611548556,260,"NC:CL",1.9325
"CL","NDE",4.79299901835878,194,"NDE:CL",1.9325
"CL","PTEMP",5.00958005249344,203,"PTEMP:CL",1.9325
"CL","PTIME",4.41841754705285,120,"PTIME:CL",1.9325
"CL","PYRID",4.72309711286089,201,"PYRID:CL",1.9325
"CL","PYRRO",4.3971719160105,170,"PYRRO:CL",1.9325
"CL","RAMAN",4.70480971128609,154,"RAMAN:CL",1.9325
"CL","RR",4.20209973753281,109,"RR:CL",1.9325
"CPGC","BET",6.83931758530184,72,"BET:CPGC",6.6374125
"CPGC","CL",8.02435695538058,213,"CL:CPGC",6.6374125
"CPGC","ENEG",8.1491051055804,154,"ENEG:CPGC",6.6374125
"CPGC","EPH",6.65581933837218,100,"EPH:CPGC",6.6374125
"CPGC","IP",7.42043581761582,147,"IP:CPGC",6.6374125
"CPGC","MNN",7.4253280839895,104,"MNN:CPGC",6.6374125
"CPGC","MT",7.8045406824147,273,"MT:CPGC",6.6374125
"CPGC","NC",7.92704724409449,170,"NC:CPGC",6.6374125
"CPGC","NDE",6.57083481275716,100,"NDE:CPGC",6.6374125
"CPGC","PTEMP",6.72965879265092,101,"PTEMP:CPGC",6.6374125
"CPGC","PTIME",5.21968108257825,47,"PTIME:CPGC",6.6374125
"CPGC","PYRID",6.73753280839895,101,"PYRID:CPGC",6.6374125
"CPGC","PYRRO",5.98693569553806,50,"PYRRO:CPGC",6.6374125
"CPGC","RAMAN",5.94668635170604,56,"RAMAN:CPGC",6.6374125
"CPGC","RR",4.8759842519685,39,"RR:CPGC",6.6374125
"CTUBE","BET",7.00477690288714,60,"BET:CTUBE",8.25395
"CTUBE","CL",9.59860892388451,164,"CL:CTUBE",8.25395
"CTUBE","ENEG",8.59300439203894,141,"ENEG:CTUBE",8.25395
"CTUBE","EPH",7.20744775324137,54,"EPH:CTUBE",8.25395
"CTUBE","IP",8.26680773430453,107,"IP:CTUBE",8.25395
"CTUBE","MNN",7.81220472440945,88,"MNN:CTUBE",8.25395
"CTUBE","MT",9.43307742782152,222,"MT:CTUBE",8.25395
"CTUBE","NC",8.80086614173228,135,"NC:CTUBE",8.25395
"CTUBE","NDE",7.12551779833887,51,"NDE:CTUBE",8.25395
"CTUBE","PTEMP",7.15419947506562,71,"PTEMP:CTUBE",8.25395
"CTUBE","PTIME",5.36418312032604,22,"PTIME:CTUBE",8.25395
"CTUBE","PYRID",7.16443569553806,67,"PYRID:CTUBE",8.25395
"CTUBE","PYRRO",6.14919947506562,39,"PYRRO:CTUBE",8.25395
"CTUBE","RAMAN",6.14709317585302,38,"RAMAN:CTUBE",8.25395
"CTUBE","RR",4.90419947506562,33,"RR:CTUBE",8.25395
"EC","BET",6.46698162729659,105,"BET:EC",6.3168625
"EC","CL",7.2542782152231,253,"CL:EC",6.3168625
"EC","ENEG",7.57444703834131,204,"ENEG:EC",6.3168625
"EC","EPH",6.89194771706168,86,"EPH:EC",6.3168625
"EC","IP",7.54183537135377,151,"IP:EC",6.3168625
"EC","MNN",7.22165354330709,128,"MNN:EC",6.3168625
"EC","MT",6.97268372703412,298,"MT:EC",6.3168625
"EC","NC",7.82324146981627,180,"NC:EC",6.3168625
"EC","NDE",6.51837618440931,119,"NDE:EC",6.3168625
"EC","PTEMP",6.63727034120735,125,"PTEMP:EC",6.3168625
"EC","PTIME",5.1754705284955,67,"PTIME:EC",6.3168625
"EC","PYRID",6.47158792650919,118,"PYRID:EC",6.3168625
"EC","PYRRO",5.64507874015748,91,"PYRRO:EC",6.3168625
"EC","RAMAN",5.52431102362205,86,"RAMAN:EC",6.3168625
"EC","RR",4.78149606299213,63,"RR:EC",6.3168625
"ENEG","BET",6.05590551181102,116,"BET:ENEG",2.931825
"ENEG","CL",6.19527559055118,241,"CL:ENEG",2.931825
"ENEG","ENEG",7.13734024452974,188,"ENEG:ENEG",2.931825
"ENEG","EPH",6.41095520954617,97,"EPH:ENEG",2.931825
"ENEG","IP",7.01919333726695,149,"IP:ENEG",2.931825
"ENEG","MNN",6.35,142,"MNN:ENEG",2.931825
"ENEG","MT",3.7692125984252,329,"MT:ENEG",2.931825
"ENEG","NC",6.31822834645669,202,"NC:ENEG",2.931825
"ENEG","NDE",6.31542012155642,104,"NDE:ENEG",2.931825
"ENEG","PTEMP",6.23851706036745,126,"PTEMP:ENEG",2.931825
"ENEG","PTIME",5.01445547949722,61,"PTIME:ENEG",2.931825
"ENEG","PYRID",5.9994750656168,133,"PYRID:ENEG",2.931825
"ENEG","PYRRO",5.44206692913386,92,"PYRRO:ENEG",2.931825
"ENEG","RAMAN",5.3996719160105,91,"RAMAN:ENEG",2.931825
"ENEG","RR",4.6738845144357,55,"RR:ENEG",2.931825
"EPH","BET",5.94020997375328,140,"BET:EPH",4.1484125
"EPH","CL",4.82107611548556,308,"CL:EPH",4.1484125
"EPH","ENEG",6.08410820506733,241,"ENEG:EPH",4.1484125
"EPH","EPH",6.39498352179662,120,"EPH:EPH",4.1484125
"EPH","IP",6.19925125638365,198,"IP:EPH",4.1484125
"EPH","MNN",6.03569553805774,177,"MNN:EPH",4.1484125
"EPH","MT",4.15254593175853,349,"MT:EPH",4.1484125
"EPH","NC",6.43788713910761,224,"NC:EPH",4.1484125
"EPH","NDE",5.95508817365999,146,"NDE:EPH",4.1484125
