"rules","support","confidence","coverage","lift","count"
"{Pyrolysis Time (h)_4~} => {Polymer Derived_not}",0.0315457413249211,1,0.0315457413249211,1.13416815742397,20
"{Pyrolysis Time (h)_4~} => {Carbon Black Derived_not}",0.0315457413249211,1,0.0315457413249211,1.11816578483245,20
"{Pyrolysis Time (h)_4~} => {H-type Cell}",0.0315457413249211,1,0.0315457413249211,1.04620462046205,20
"{Pyrolysis Time (h)_4~} => {Oxidized N Ratio_~25}",0.0315457413249211,1,0.0315457413249211,1.0359477124183,20
"{Cu} => {Rising Rate_4~8}",0.0331230283911672,0.875,0.0378548895899054,1.61264534883721,21
"{Cu} => {disqualified}",0.0362776025236593,0.958333333333333,0.0378548895899054,1.22744107744108,23
"{Cu} => {Hard or Soft Templated_not}",0.0362776025236593,0.958333333333333,0.0378548895899054,1.1210024600246,23
"{Cu} => {Carbon Nanofiber/Nanotubes_not}",0.0378548895899054,1,0.0378548895899054,1.15482695810565,24
"{Cu} => {Biomass or other Organic Derived_not}",0.0331230283911672,0.875,0.0378548895899054,0.99954954954955,21
"{Cu} => {Polymer Derived_not}",0.0347003154574132,0.916666666666667,0.0378548895899054,1.03965414430531,22
"{Cu} => {Carbon Black Derived_not}",0.0347003154574132,0.916666666666667,0.0378548895899054,1.02498530276308,22
"{Cu} => {H-type Cell}",0.0378548895899054,1,0.0378548895899054,1.04620462046205,24
"{Cu} => {Oxidized N Ratio_~25}",0.0362776025236593,0.958333333333333,0.0378548895899054,0.992783224400872,23
"{Metal-N Coordination Number (XAS)_6~} => {Pyridinic N Ratio_25~50}",0.0315457413249211,0.8,0.0394321766561514,1.45329512893983,20
"{Metal-N Coordination Number (XAS)_6~} => {ZIF or MOF Derived_not}",0.0315457413249211,0.8,0.0394321766561514,1.0978354978355,20
"{Metal-N Coordination Number (XAS)_6~} => {Electrode Area cm2_~1}",0.0378548895899054,0.96,0.0394321766561514,1.31172413793103,24
"{Metal-N Coordination Number (XAS)_6~} => {disqualified}",0.0378548895899054,0.96,0.0394321766561514,1.22957575757576,24
"{Metal-N Coordination Number (XAS)_6~} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0378548895899054,0.96,0.0394321766561514,1.16152671755725,24
"{Metal-N Coordination Number (XAS)_6~} => {Hard or Soft Templated_not}",0.0362776025236593,0.92,0.0394321766561514,1.07616236162362,23
"{Metal-N Coordination Number (XAS)_6~} => {Carbon Nanofiber/Nanotubes_not}",0.0315457413249211,0.8,0.0394321766561514,0.923861566484517,20
"{Metal-N Coordination Number (XAS)_6~} => {Biomass or other Organic Derived_not}",0.0347003154574132,0.88,0.0394321766561514,1.00526126126126,22
"{Metal-N Coordination Number (XAS)_6~} => {Polymer Derived_not}",0.0315457413249211,0.8,0.0394321766561514,0.907334525939177,20
"{Metal-N Coordination Number (XAS)_6~} => {Carbon Black Derived_not}",0.0315457413249211,0.8,0.0394321766561514,0.894532627865961,20
"{Metal-N Coordination Number (XAS)_6~} => {H-type Cell}",0.0394321766561514,1,0.0394321766561514,1.04620462046205,25
"{Metal-N Coordination Number (XAS)_6~} => {Oxidized N Ratio_~25}",0.0394321766561514,1,0.0394321766561514,1.0359477124183,25
"{Pyrrolic N Ratio_50~75} => {Graphitic N Ratio_0~25}",0.0362776025236593,0.92,0.0394321766561514,1.63383753501401,23
"{Pyrrolic N Ratio_50~75} => {ZIF or MOF Derived_not}",0.0378548895899054,0.96,0.0394321766561514,1.3174025974026,24
"{Pyrrolic N Ratio_50~75} => {Electrode Area cm2_~1}",0.0315457413249211,0.8,0.0394321766561514,1.09310344827586,20
"{Pyrrolic N Ratio_50~75} => {Nafion117}",0.0331230283911672,0.84,0.0394321766561514,1.13310638297872,21
"{Pyrrolic N Ratio_50~75} => {disqualified}",0.0331230283911672,0.84,0.0394321766561514,1.07587878787879,21
"{Pyrrolic N Ratio_50~75} => {Polymer Derived_not}",0.0378548895899054,0.96,0.0394321766561514,1.08880143112701,24
"{Pyrrolic N Ratio_50~75} => {Carbon Black Derived_not}",0.0362776025236593,0.92,0.0394321766561514,1.02871252204586,23
"{Pyrrolic N Ratio_50~75} => {H-type Cell}",0.0378548895899054,0.96,0.0394321766561514,1.00435643564356,24
"{Pyrrolic N Ratio_50~75} => {Oxidized N Ratio_~25}",0.0394321766561514,1,0.0394321766561514,1.0359477124183,25
"{Flow Cell} => {qualified}",0.0347003154574132,0.814814814814815,0.0425867507886435,3.74342458400429,22
"{Flow Cell} => {Ni}",0.0331230283911672,0.777777777777778,0.0425867507886435,2.29354005167959,21
"{Flow Cell} => {Acid Wash_yes}",0.0315457413249211,0.740740740740741,0.0425867507886435,1.63634017292554,20
"{Flow Cell} => {Metal-N Coordination Number (XAS)_3~4}",0.0378548895899054,0.888888888888889,0.0425867507886435,1.6722716782064,24
"{Flow Cell} => {Graphitic N Ratio_0~25}",0.0315457413249211,0.740740740740741,0.0425867507886435,1.31548915862641,20
"{Flow Cell} => {ZIF or MOF Derived_not}",0.0315457413249211,0.740740740740741,0.0425867507886435,1.01651434984768,20
