rules,support,confidence,coverage,lift,count
{Pyrolysis Time (h)_4~} => {Polymer Derived_not},0.031545741,1,0.031545741,1.134168157,20
{Pyrolysis Time (h)_4~} => {Carbon Black Derived_not},0.031545741,1,0.031545741,1.118165785,20
{Pyrolysis Time (h)_4~} => {H-type Cell},0.031545741,1,0.031545741,1.04620462,20
{Pyrolysis Time (h)_4~} => {Oxidized N Ratio_~25},0.031545741,1,0.031545741,1.035947712,20
{Cu} => {Rising Rate_4~8},0.033123028,0.875,0.03785489,1.612645349,21
{Cu} => {Hard or Soft Templated_not},0.036277603,0.958333333,0.03785489,1.12100246,23
{Cu} => {Carbon Nanofiber/Nanotubes_not},0.03785489,1,0.03785489,1.154826958,24
{Cu} => {Biomass or other Organic Derived_not},0.033123028,0.875,0.03785489,0.99954955,21
{Cu} => {Polymer Derived_not},0.034700315,0.916666667,0.03785489,1.039654144,22
{Cu} => {disqualified},0.036277603,0.958333333,0.03785489,1.077275414,23
{Cu} => {Carbon Black Derived_not},0.034700315,0.916666667,0.03785489,1.024985303,22
{Cu} => {H-type Cell},0.03785489,1,0.03785489,1.04620462,24
{Cu} => {Oxidized N Ratio_~25},0.036277603,0.958333333,0.03785489,0.992783224,23
{Metal-N Coordination Number (XAS)_6~} => {Pyridinic N Ratio_25~50},0.031545741,0.8,0.039432177,1.453295129,20
{Metal-N Coordination Number (XAS)_6~} => {ZIF or MOF Derived_not},0.031545741,0.8,0.039432177,1.097835498,20
{Metal-N Coordination Number (XAS)_6~} => {Electrode Area cm2_~1},0.03785489,0.96,0.039432177,1.311724138,24
{Metal-N Coordination Number (XAS)_6~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.03785489,0.96,0.039432177,1.161526718,24
{Metal-N Coordination Number (XAS)_6~} => {Hard or Soft Templated_not},0.036277603,0.92,0.039432177,1.076162362,23
{Metal-N Coordination Number (XAS)_6~} => {Carbon Nanofiber/Nanotubes_not},0.031545741,0.8,0.039432177,0.923861566,20
{Metal-N Coordination Number (XAS)_6~} => {Biomass or other Organic Derived_not},0.034700315,0.88,0.039432177,1.005261261,22
{Metal-N Coordination Number (XAS)_6~} => {Polymer Derived_not},0.031545741,0.8,0.039432177,0.907334526,20
{Metal-N Coordination Number (XAS)_6~} => {disqualified},0.039432177,1,0.039432177,1.124113475,25
{Metal-N Coordination Number (XAS)_6~} => {Carbon Black Derived_not},0.031545741,0.8,0.039432177,0.894532628,20
{Metal-N Coordination Number (XAS)_6~} => {H-type Cell},0.039432177,1,0.039432177,1.04620462,25
{Metal-N Coordination Number (XAS)_6~} => {Oxidized N Ratio_~25},0.039432177,1,0.039432177,1.035947712,25
{Pyrrolic N Ratio_50~75} => {Graphitic N Ratio_0~25},0.036277603,0.92,0.039432177,1.633837535,23
{Pyrrolic N Ratio_50~75} => {ZIF or MOF Derived_not},0.03785489,0.96,0.039432177,1.317402597,24
{Pyrrolic N Ratio_50~75} => {Electrode Area cm2_~1},0.031545741,0.8,0.039432177,1.093103448,20
{Pyrrolic N Ratio_50~75} => {Nafion117},0.033123028,0.84,0.039432177,1.133106383,21
{Pyrrolic N Ratio_50~75} => {Polymer Derived_not},0.03785489,0.96,0.039432177,1.088801431,24
{Pyrrolic N Ratio_50~75} => {disqualified},0.034700315,0.88,0.039432177,0.989219858,22
{Pyrrolic N Ratio_50~75} => {Carbon Black Derived_not},0.036277603,0.92,0.039432177,1.028712522,23
{Pyrrolic N Ratio_50~75} => {H-type Cell},0.03785489,0.96,0.039432177,1.004356436,24
{Pyrrolic N Ratio_50~75} => {Oxidized N Ratio_~25},0.039432177,1,0.039432177,1.035947712,25
{Flow Cell} => {Ni},0.033123028,0.777777778,0.042586751,2.293540052,21
{Flow Cell} => {Acid Wash_yes},0.031545741,0.740740741,0.042586751,1.636340173,20
{Flow Cell} => {Metal-N Coordination Number (XAS)_3~4},0.03785489,0.888888889,0.042586751,1.672271678,24
{Flow Cell} => {Graphitic N Ratio_0~25},0.031545741,0.740740741,0.042586751,1.315489159,20
{Flow Cell} => {ZIF or MOF Derived_not},0.031545741,0.740740741,0.042586751,1.01651435,20
{Flow Cell} => {Glassy Carbon},0.03785489,0.888888889,0.042586751,1.204178538,24
{Flow Cell} => {Nafion117},0.042586751,1,0.042586751,1.34893617,27
{Flow Cell} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.039432177,0.925925926,0.042586751,1.120299689,25
{Flow Cell} => {Hard or Soft Templated_not},0.034700315,0.814814815,0.042586751,0.953122865,22
{Flow Cell} => {Carbon Nanofiber/Nanotubes_not},0.041009464,0.962962963,0.042586751,1.112055589,26
{Flow Cell} => {Biomass or other Organic Derived_not},0.041009464,0.962962963,0.042586751,1.100033367,26
{Flow Cell} => {Polymer Derived_not},0.039432177,0.925925926,0.042586751,1.050155701,25
{Flow Cell} => {Oxidized N Ratio_~25},0.042586751,1,0.042586751,1.035947712,27
{Raman ID/IG Ratio_~0.8} => {Carbon Nanofiber/Nanotubes_yes},0.031545741,0.689655172,0.045741325,5.205254516,20
{Carbon Nanofiber/Nanotubes_yes} => {Raman ID/IG Ratio_~0.8},0.031545741,0.238095238,0.132492114,5.205254516,20
{Raman ID/IG Ratio_~0.8} => {Metal_Free},0.034700315,0.75862069,0.045741325,3.185202101,22
{Raman ID/IG Ratio_~0.8} => {none},0.034700315,0.75862069,0.045741325,3.185202101,22
{Raman ID/IG Ratio_~0.8} => {Metal-N Coordination Number (XAS)_0~2},0.034700315,0.75862069,0.045741325,3.02494036,22
{Raman ID/IG Ratio_~0.8} => {Electrode Area cm2_1~},0.031545741,0.689655172,0.045741325,2.587227097,20
{Raman ID/IG Ratio_~0.8} => {Acid Wash_not},0.042586751,0.931034483,0.045741325,1.705999601,27
{Raman ID/IG Ratio_~0.8} => {ZIF or MOF Derived_not},0.044164038,0.965517241,0.045741325,1.324973877,28
{Raman ID/IG Ratio_~0.8} => {Glassy Carbon},0.036277603,0.793103448,0.045741325,1.074417919,23
{Raman ID/IG Ratio_~0.8} => {Nafion117},0.03785489,0.827586207,0.045741325,1.116360968,24
{Raman ID/IG Ratio_~0.8} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.036277603,0.793103448,0.045741325,0.95959463,23
{Raman ID/IG Ratio_~0.8} => {Hard or Soft Templated_not},0.044164038,0.965517241,0.045741325,1.129405777,28
{Raman ID/IG Ratio_~0.8} => {Biomass or other Organic Derived_not},0.044164038,0.965517241,0.045741325,1.102951227,28
{Raman ID/IG Ratio_~0.8} => {Polymer Derived_not},0.045741325,1,0.045741325,1.134168157,29
{Raman ID/IG Ratio_~0.8} => {disqualified},0.045741325,1,0.045741325,1.124113475,29
{Raman ID/IG Ratio_~0.8} => {Carbon Black Derived_not},0.044164038,0.965517241,0.045741325,1.079608344,28
{Raman ID/IG Ratio_~0.8} => {H-type Cell},0.042586751,0.931034483,0.045741325,0.974052578,27
{Raman ID/IG Ratio_~0.8} => {Oxidized N Ratio_~25},0.045741325,1,0.045741325,1.035947712,29
{Main Transition Metal Content (wt. %)_10~} => {Nitrogen Cotent (wt. %)_8~},0.039432177,0.862068966,0.045741325,3.353078062,25
{Main Transition Metal Content (wt. %)_10~} => {Ni},0.036277603,0.793103448,0.045741325,2.338732959,23
{Main Transition Metal Content (wt. %)_10~} => {BET Surface Area (m2/g)_0~500},0.033123028,0.724137931,0.045741325,1.881571509,21
{Main Transition Metal Content (wt. %)_10~} => {Catalyst Loading (mg cm-2)_0.5~1},0.031545741,0.689655172,0.045741325,1.492291397,20
{Main Transition Metal Content (wt. %)_10~} => {Electrolyte Concentration (M)_0.5},0.041009464,0.896551724,0.045741325,1.686687813,26
{Main Transition Metal Content (wt. %)_10~} => {Electrolyte pH_7~8},0.036277603,0.793103448,0.045741325,1.478904665,23
{Main Transition Metal Content (wt. %)_10~} => {Rising Rate_4~8},0.033123028,0.724137931,0.045741325,1.334603047,21
{Main Transition Metal Content (wt. %)_10~} => {Electrode Area cm2_~1},0.042586751,0.931034483,0.045741325,1.272146254,27
{Main Transition Metal Content (wt. %)_10~} => {Glassy Carbon},0.03785489,0.827586207,0.045741325,1.121131742,24
{Main Transition Metal Content (wt. %)_10~} => {Nafion117},0.034700315,0.75862069,0.045741325,1.023330888,22
{Main Transition Metal Content (wt. %)_10~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.041009464,0.896551724,0.045741325,1.084759147,26
{Main Transition Metal Content (wt. %)_10~} => {Hard or Soft Templated_not},0.045741325,1,0.045741325,1.169741697,29
{Main Transition Metal Content (wt. %)_10~} => {Biomass or other Organic Derived_not},0.044164038,0.965517241,0.045741325,1.102951227,28
{Main Transition Metal Content (wt. %)_10~} => {Polymer Derived_not},0.042586751,0.931034483,0.045741325,1.055949664,27
{Main Transition Metal Content (wt. %)_10~} => {disqualified},0.039432177,0.862068966,0.045741325,0.969063341,25
{Main Transition Metal Content (wt. %)_10~} => {Carbon Black Derived_not},0.044164038,0.965517241,0.045741325,1.079608344,28
{Main Transition Metal Content (wt. %)_10~} => {H-type Cell},0.042586751,0.931034483,0.045741325,0.974052578,27
{Main Transition Metal Content (wt. %)_10~} => {Oxidized N Ratio_~25},0.045741325,1,0.045741325,1.035947712,29
{Pyrolysis Temperature_1000~} => {ZIF or MOF Derived_yes},0.036277603,0.676470588,0.05362776,2.508083935,23
{Pyrolysis Temperature_1000~} => {Pyrolysis Time (h)_~1},0.031545741,0.588235294,0.05362776,1.784407543,20
{Pyrolysis Temperature_1000~} => {Electrolyte pH_~7},0.041009464,0.764705882,0.05362776,1.908754053,26
{Pyrolysis Temperature_1000~} => {Electrolyte Concentration (M)_0.1},0.041009464,0.764705882,0.05362776,1.908754053,26
{Pyrolysis Temperature_1000~} => {Catalyst Loading (mg cm-2)_0.5~1},0.034700315,0.647058824,0.05362776,1.400120458,22
{Pyrolysis Temperature_1000~} => {Rising Rate_4~8},0.03785489,0.705882353,0.05362776,1.300957592,24
{Pyrolysis Temperature_1000~} => {Acid Wash_not},0.047318612,0.882352941,0.05362776,1.616797008,30
{Pyrolysis Temperature_1000~} => {Pyrrolic N Ratio_0~25},0.036277603,0.676470588,0.05362776,1.091303697,23
{Pyrolysis Temperature_1000~} => {Electrode Area cm2_~1},0.045741325,0.852941176,0.05362776,1.165441176,29
{Pyrolysis Temperature_1000~} => {Glassy Carbon},0.036277603,0.676470588,0.05362776,0.916415284,23
{Pyrolysis Temperature_1000~} => {Nafion117},0.039432177,0.735294118,0.05362776,0.991864831,25
{Pyrolysis Temperature_1000~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.05362776,1,0.05362776,1.209923664,34
{Pyrolysis Temperature_1000~} => {Hard or Soft Templated_not},0.05362776,1,0.05362776,1.169741697,34
{Pyrolysis Temperature_1000~} => {Carbon Nanofiber/Nanotubes_not},0.050473186,0.941176471,0.05362776,1.086895961,32
{Pyrolysis Temperature_1000~} => {Biomass or other Organic Derived_not},0.047318612,0.882352941,0.05362776,1.007949126,30
{Pyrolysis Temperature_1000~} => {Polymer Derived_not},0.048895899,0.911764706,0.05362776,1.034094496,31
{Pyrolysis Temperature_1000~} => {disqualified},0.05362776,1,0.05362776,1.124113475,34
{Pyrolysis Temperature_1000~} => {Carbon Black Derived_not},0.050473186,0.941176471,0.05362776,1.052391327,32
{Pyrolysis Temperature_1000~} => {H-type Cell},0.05362776,1,0.05362776,1.04620462,34
{Pyrolysis Temperature_1000~} => {Oxidized N Ratio_~25},0.050473186,0.941176471,0.05362776,0.975009612,32
{Main Transition Metal Content (wt. %)_5~10} => {Pyridinic N Ratio_50~75},0.031545741,0.588235294,0.05362776,1.837148653,20
{Main Transition Metal Content (wt. %)_5~10} => {Ni},0.031545741,0.588235294,0.05362776,1.734610123,20
{Main Transition Metal Content (wt. %)_5~10} => {Raman ID/IG Ratio_1~1.2},0.03785489,0.705882353,0.05362776,1.467309547,24
{Main Transition Metal Content (wt. %)_5~10} => {Metal-N Coordination Number (XAS)_3~4},0.033123028,0.617647059,0.05362776,1.161982894,21
{Main Transition Metal Content (wt. %)_5~10} => {Electrolyte Concentration (M)_0.5},0.03785489,0.705882353,0.05362776,1.32798045,24
{Main Transition Metal Content (wt. %)_5~10} => {Electrolyte pH_7~8},0.036277603,0.676470588,0.05362776,1.261418685,23
{Main Transition Metal Content (wt. %)_5~10} => {Rising Rate_4~8},0.031545741,0.588235294,0.05362776,1.084131327,20
{Main Transition Metal Content (wt. %)_5~10} => {Graphitic N Ratio_0~25},0.047318612,0.882352941,0.05362776,1.566979733,30
{Main Transition Metal Content (wt. %)_5~10} => {Pyrrolic N Ratio_0~25},0.031545741,0.588235294,0.05362776,0.948959737,20
{Main Transition Metal Content (wt. %)_5~10} => {ZIF or MOF Derived_not},0.036277603,0.676470588,0.05362776,0.928316781,23
{Main Transition Metal Content (wt. %)_5~10} => {Electrode Area cm2_~1},0.044164038,0.823529412,0.05362776,1.12525355,28
{Main Transition Metal Content (wt. %)_5~10} => {Glassy Carbon},0.044164038,0.823529412,0.05362776,1.115635998,28
{Main Transition Metal Content (wt. %)_5~10} => {Nafion117},0.03785489,0.705882353,0.05362776,0.952190238,24
{Main Transition Metal Content (wt. %)_5~10} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.042586751,0.794117647,0.05362776,0.960821733,27
{Main Transition Metal Content (wt. %)_5~10} => {Hard or Soft Templated_not},0.052050473,0.970588235,0.05362776,1.13533753,33
{Main Transition Metal Content (wt. %)_5~10} => {Carbon Nanofiber/Nanotubes_not},0.03785489,0.705882353,0.05362776,0.81517197,24
{Main Transition Metal Content (wt. %)_5~10} => {Biomass or other Organic Derived_not},0.050473186,0.941176471,0.05362776,1.075145734,32
{Main Transition Metal Content (wt. %)_5~10} => {Polymer Derived_not},0.050473186,0.941176471,0.05362776,1.067452383,32
{Main Transition Metal Content (wt. %)_5~10} => {disqualified},0.03785489,0.705882353,0.05362776,0.793491865,24
{Main Transition Metal Content (wt. %)_5~10} => {Carbon Black Derived_not},0.050473186,0.941176471,0.05362776,1.052391327,32
{Main Transition Metal Content (wt. %)_5~10} => {H-type Cell},0.052050473,0.970588235,0.05362776,1.015433896,33
{Main Transition Metal Content (wt. %)_5~10} => {Oxidized N Ratio_~25},0.05362776,1,0.05362776,1.035947712,34
{Electrolyte Concentration (M)_1} => {Electrolyte pH_8~},0.058359621,1,0.058359621,16.25641026,37
{Electrolyte pH_8~} => {Electrolyte Concentration (M)_1},0.058359621,0.948717949,0.061514196,16.25641026,37
{Electrolyte Concentration (M)_1} => {Nafion115},0.034700315,0.594594595,0.058359621,2.673567184,22
