rules,support,confidence,coverage,lift,count
{Zn} => {Carbon Nanofiber/Nanotubes_not},0.031343284,1,0.031343284,1.147260274,21
{Zn} => {H-type Cell},0.031343284,1,0.031343284,1.043613707,21
{Zn} => {Oxidized N Ratio_0~25},0.031343284,1,0.031343284,1.033950617,21
{Pyrrolic N Ratio_50~75} => {Graphitic N Ratio_0~25},0.035820896,0.923076923,0.03880597,1.623258631,24
{Pyrrolic N Ratio_50~75} => {ZIF or MOF Derived_not},0.037313433,0.961538462,0.03880597,1.317445336,25
{Pyrrolic N Ratio_50~75} => {Electrode Area cm2_~1},0.031343284,0.807692308,0.03880597,1.09545313,21
{Pyrrolic N Ratio_50~75} => {Nafion117},0.032835821,0.846153846,0.03880597,1.138399753,22
{Pyrrolic N Ratio_50~75} => {Polymer Derived_not},0.037313433,0.961538462,0.03880597,1.088227651,25
{Pyrrolic N Ratio_50~75} => {Carbon Black Derived_not},0.035820896,0.923076923,0.03880597,1.030769231,24
{Pyrrolic N Ratio_50~75} => {H-type Cell},0.037313433,0.961538462,0.03880597,1.003474718,25
{Pyrrolic N Ratio_50~75} => {Oxidized N Ratio_0~25},0.03880597,1,0.03880597,1.033950617,26
{Metal-N Coordination Number (XAS)_6~} => {Pyridinic N Ratio_25~50},0.032835821,0.814814815,0.040298507,1.479474054,22
{Metal-N Coordination Number (XAS)_6~} => {disqualified},0.034328358,0.851851852,0.040298507,1.358906526,23
{Metal-N Coordination Number (XAS)_6~} => {ZIF or MOF Derived_not},0.032835821,0.814814815,0.040298507,1.116412936,22
{Metal-N Coordination Number (XAS)_6~} => {Electrode Area cm2_~1},0.03880597,0.962962963,0.040298507,1.306042885,26
{Metal-N Coordination Number (XAS)_6~} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.035820896,0.888888889,0.040298507,1.073073073,24
{Metal-N Coordination Number (XAS)_6~} => {Hard or Soft Templated_not},0.037313433,0.925925926,0.040298507,1.082670803,25
{Metal-N Coordination Number (XAS)_6~} => {Biomass or other Organic Derived_not},0.035820896,0.888888889,0.040298507,1.030372933,24
{Metal-N Coordination Number (XAS)_6~} => {Carbon Nanofiber/Nanotubes_not},0.032835821,0.814814815,0.040298507,0.934804668,22
{Metal-N Coordination Number (XAS)_6~} => {Polymer Derived_not},0.032835821,0.814814815,0.040298507,0.922172172,22
{Metal-N Coordination Number (XAS)_6~} => {Carbon Black Derived_not},0.032835821,0.814814815,0.040298507,0.909876543,22
{Metal-N Coordination Number (XAS)_6~} => {H-type Cell},0.040298507,1,0.040298507,1.043613707,27
{Metal-N Coordination Number (XAS)_6~} => {Oxidized N Ratio_0~25},0.040298507,1,0.040298507,1.033950617,27
{Flow Cell} => {Ni},0.031343284,0.777777778,0.040298507,2.347347347,21
{Flow Cell} => {Metal-N Coordination Number (XAS)_3~4},0.035820896,0.888888889,0.040298507,1.672908864,24
{Flow Cell} => {Nafion117},0.040298507,1,0.040298507,1.345381526,27
{Flow Cell} => {Glassy Carbon},0.035820896,0.888888889,0.040298507,1.184007069,24
{Flow Cell} => {Graphene/Carbon Nanosheets or other 2D Structures_not},0.037313433,0.925925926,0.040298507,1.117784451,25
{Flow Cell} => {Hard or Soft Templated_not},0.032835821,0.814814815,0.040298507,0.952750307,22
{Flow Cell} => {Biomass or other Organic Derived_not},0.03880597,0.962962963,0.040298507,1.116237345,26
{Flow Cell} => {Carbon Nanofiber/Nanotubes_not},0.03880597,0.962962963,0.040298507,1.104769153,26
{Flow Cell} => {Polymer Derived_not},0.037313433,0.925925926,0.040298507,1.047922923,25
{Flow Cell} => {Oxidized N Ratio_0~25},0.040298507,1,0.040298507,1.033950617,27
{Cu} => {Electrolyte Concentration (M)_0.1},0.034328358,0.821428571,0.041791045,1.979701953,23
{Cu} => {Electrolyte pH_~7},0.031343284,0.75,0.041791045,1.781914894,21
{Cu} => {Rising Rate (¡ãC min-1)_4~8},0.037313433,0.892857143,0.041791045,1.680377207,25
{Cu} => {Metal-N Coordination Number (XAS)_3~4},0.032835821,0.785714286,0.041791045,1.478731942,22
{Cu} => {Graphitic N Ratio_0~25},0.034328358,0.821428571,0.041791045,1.444506937,23
{Cu} => {disqualified},0.035820896,0.857142857,0.041791045,1.367346939,24
{Cu} => {Hard or Soft Templated_not},0.040298507,0.964285714,0.041791045,1.127524308,27
{Cu} => {Biomass or other Organic Derived_not},0.037313433,0.892857143,0.041791045,1.034972813,25
{Cu} => {Carbon Nanofiber/Nanotubes_not},0.041791045,1,0.041791045,1.147260274,28
{Cu} => {Polymer Derived_not},0.03880597,0.928571429,0.041791045,1.050916988,26
{Cu} => {Carbon Black Derived_not},0.03880597,0.928571429,0.041791045,1.036904762,26
{Cu} => {H-type Cell},0.041791045,1,0.041791045,1.043613707,28
