"rules","support","confidence","coverage","lift","count"
"{Zn} => {Carbon Nanofiber/Nanotubes_not}",0.0313432835820895,1,0.0313432835820895,1.1472602739726,21
"{Zn} => {H-type Cell}",0.0313432835820895,1,0.0313432835820895,1.04361370716511,21
"{Zn} => {Oxidized N Ratio_0~25}",0.0313432835820895,1,0.0313432835820895,1.03395061728395,21
"{Pyrrolic N Ratio_50~75} => {Graphitic N Ratio_0~25}",0.0358208955223881,0.923076923076923,0.0388059701492537,1.62325863113265,24
"{Pyrrolic N Ratio_50~75} => {ZIF or MOF Derived_not}",0.0373134328358209,0.961538461538462,0.0388059701492537,1.31744533585024,25
"{Pyrrolic N Ratio_50~75} => {Electrode Area cm2_~1}",0.0313432835820895,0.807692307692308,0.0388059701492537,1.09545312986609,21
"{Pyrrolic N Ratio_50~75} => {Nafion117}",0.0328358208955224,0.846153846153846,0.0388059701492537,1.13839975285758,22
"{Pyrrolic N Ratio_50~75} => {Polymer Derived_not}",0.0373134328358209,0.961538461538462,0.0388059701492537,1.08822765072765,25
"{Pyrrolic N Ratio_50~75} => {Carbon Black Derived_not}",0.0358208955223881,0.923076923076923,0.0388059701492537,1.03076923076923,24
"{Pyrrolic N Ratio_50~75} => {H-type Cell}",0.0373134328358209,0.961538461538462,0.0388059701492537,1.00347471842799,25
"{Pyrrolic N Ratio_50~75} => {Oxidized N Ratio_0~25}",0.0388059701492537,1,0.0388059701492537,1.03395061728395,26
"{Metal-N Coordination Number (XAS)_6~} => {Pyridinic N Ratio_25~50}",0.0328358208955224,0.814814814814815,0.0402985074626866,1.4794740539998,22
"{Metal-N Coordination Number (XAS)_6~} => {ZIF or MOF Derived_not}",0.0328358208955224,0.814814814814815,0.0402985074626866,1.11641293645384,22
"{Metal-N Coordination Number (XAS)_6~} => {Electrode Area cm2_~1}",0.0388059701492537,0.962962962962963,0.0402985074626866,1.30604288499025,26
"{Metal-N Coordination Number (XAS)_6~} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0358208955223881,0.888888888888889,0.0402985074626866,1.07307307307307,24
"{Metal-N Coordination Number (XAS)_6~} => {Hard or Soft Templated_not}",0.0373134328358209,0.925925925925926,0.0402985074626866,1.08267080343869,25
"{Metal-N Coordination Number (XAS)_6~} => {Biomass or other Organic Derived_not}",0.0358208955223881,0.888888888888889,0.0402985074626866,1.03037293348712,24
"{Metal-N Coordination Number (XAS)_6~} => {Carbon Nanofiber/Nanotubes_not}",0.0328358208955224,0.814814814814815,0.0402985074626866,0.93480466768138,22
"{Metal-N Coordination Number (XAS)_6~} => {Polymer Derived_not}",0.0328358208955224,0.814814814814815,0.0402985074626866,0.922172172172172,22
"{Metal-N Coordination Number (XAS)_6~} => {Carbon Black Derived_not}",0.0328358208955224,0.814814814814815,0.0402985074626866,0.909876543209876,22
"{Metal-N Coordination Number (XAS)_6~} => {H-type Cell}",0.0402985074626866,1,0.0402985074626866,1.04361370716511,27
"{Metal-N Coordination Number (XAS)_6~} => {Oxidized N Ratio_0~25}",0.0402985074626866,1,0.0402985074626866,1.03395061728395,27
"{Flow Cell} => {Ni}",0.0313432835820895,0.777777777777778,0.0402985074626866,2.34734734734735,21
"{Flow Cell} => {Metal-N Coordination Number (XAS)_3~4}",0.0358208955223881,0.888888888888889,0.0402985074626866,1.6729088639201,24
"{Flow Cell} => {Nafion117}",0.0402985074626866,1,0.0402985074626866,1.34538152610442,27
"{Flow Cell} => {Glassy Carbon}",0.0358208955223881,0.888888888888889,0.0402985074626866,1.18400706869892,24
"{Flow Cell} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0373134328358209,0.925925925925926,0.0402985074626866,1.11778445111778,25
"{Flow Cell} => {Hard or Soft Templated_not}",0.0328358208955224,0.814814814814815,0.0402985074626866,0.952750307026049,22
"{Flow Cell} => {Biomass or other Organic Derived_not}",0.0388059701492537,0.962962962962963,0.0402985074626866,1.11623734461105,26
"{Flow Cell} => {Carbon Nanofiber/Nanotubes_not}",0.0388059701492537,0.962962962962963,0.0402985074626866,1.10476915271436,26
"{Flow Cell} => {Polymer Derived_not}",0.0373134328358209,0.925925925925926,0.0402985074626866,1.04792292292292,25
"{Flow Cell} => {Oxidized N Ratio_0~25}",0.0402985074626866,1,0.0402985074626866,1.03395061728395,27
"{Cu} => {Electrolyte Concentration (M)_0.1}",0.0343283582089552,0.821428571428571,0.0417910447761194,1.97970195272354,23
"{Cu} => {Electrolyte pH_~7}",0.0313432835820895,0.75,0.0417910447761194,1.78191489361702,21
"{Cu} => {Metal-N Coordination Number (XAS)_3~4}",0.0328358208955224,0.785714285714286,0.0417910447761194,1.47873194221509,22
"{Cu} => {Rising Rate (буC min-1)_4~8}",0.0373134328358209,0.892857142857143,0.0417910447761194,1.6803772070626,25
"{Cu} => {Graphitic N Ratio_0~25}",0.0343283582089552,0.821428571428571,0.0417910447761194,1.44450693663292,23
"{Cu} => {Hard or Soft Templated_not}",0.0402985074626866,0.964285714285714,0.0417910447761194,1.12752430815258,27
"{Cu} => {Biomass or other Organic Derived_not}",0.0373134328358209,0.892857142857143,0.0417910447761194,1.03497281265447,25
"{Cu} => {Carbon Nanofiber/Nanotubes_not}",0.0417910447761194,1,0.0417910447761194,1.1472602739726,28
"{Cu} => {Polymer Derived_not}",0.0388059701492537,0.928571428571429,0.0417910447761194,1.05091698841699,26
"{Cu} => {Carbon Black Derived_not}",0.0388059701492537,0.928571428571429,0.0417910447761194,1.03690476190476,26
"{Cu} => {H-type Cell}",0.0417910447761194,1,0.0417910447761194,1.04361370716511,28
"{Cu} => {Oxidized N Ratio_0~25}",0.0402985074626866,0.964285714285714,0.0417910447761194,0.99702380952381,27
"{Raman ID/IG Ratio_~0.8} => {Metal_Free}",0.0328358208955224,0.758620689655172,0.0432835820895522,3.21693583587953,22
"{Raman ID/IG Ratio_~0.8} => {none}",0.0328358208955224,0.758620689655172,0.0432835820895522,3.21693583587953,22
"{Raman ID/IG Ratio_~0.8} => {Metal-N Coordination Number (XAS)_0~2}",0.0328358208955224,0.758620689655172,0.0432835820895522,3.06190278354798,22
"{Raman ID/IG Ratio_~0.8} => {Acid Wash_not}",0.0402985074626866,0.931034482758621,0.0432835820895522,1.68138302816247,27
"{Raman ID/IG Ratio_~0.8} => {ZIF or MOF Derived_not}",0.0417910447761194,0.96551724137931,0.0432835820895522,1.32289683379169,28
"{Raman ID/IG Ratio_~0.8} => {Nafion117}",0.0358208955223881,0.827586206896552,0.0432835820895522,1.11341919401745,24
"{Raman ID/IG Ratio_~0.8} => {Glassy Carbon}",0.0343283582089552,0.793103448275862,0.0432835820895522,1.05642010008912,23
"{Raman ID/IG Ratio_~0.8} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0343283582089552,0.793103448275862,0.0432835820895522,0.957440198819509,23
"{Raman ID/IG Ratio_~0.8} => {Hard or Soft Templated_not}",0.0417910447761194,0.96551724137931,0.0432835820895522,1.12896431365469,28
"{Raman ID/IG Ratio_~0.8} => {Biomass or other Organic Derived_not}",0.0417910447761194,0.96551724137931,0.0432835820895522,1.11919818637394,28
"{Raman ID/IG Ratio_~0.8} => {Polymer Derived_not}",0.0432835820895522,1,0.0432835820895522,1.13175675675676,29
"{Raman ID/IG Ratio_~0.8} => {Carbon Black Derived_not}",0.0417910447761194,0.96551724137931,0.0432835820895522,1.07816091954023,28
"{Raman ID/IG Ratio_~0.8} => {H-type Cell}",0.0402985074626866,0.931034482758621,0.0432835820895522,0.971640348050274,27
"{Raman ID/IG Ratio_~0.8} => {Oxidized N Ratio_0~25}",0.0432835820895522,1,0.0432835820895522,1.03395061728395,29
"{Main Transition Metal Content (wt. %)_10~} => {Nitrogen Cotent (wt. %)_8~}",0.0373134328358209,0.806451612903226,0.0462686567164179,3.19717503340332,25
"{Main Transition Metal Content (wt. %)_10~} => {Ni}",0.0373134328358209,0.806451612903226,0.0462686567164179,2.43388549840163,25
"{Main Transition Metal Content (wt. %)_10~} => {BET Surface Area (m2/g)_0~500}",0.0328358208955224,0.709677419354839,0.0462686567164179,1.86464263124605,22
"{Main Transition Metal Content (wt. %)_10~} => {Catalyst Loading (mg cm-2)_0.5~1}",0.0328358208955224,0.709677419354839,0.0462686567164179,1.52398676592225,22
"{Main Transition Metal Content (wt. %)_10~} => {Electrolyte Concentration (M)_0.5}",0.0388059701492537,0.838709677419355,0.0462686567164179,1.62409099384673,26
"{Main Transition Metal Content (wt. %)_10~} => {Electrolyte pH_7~8}",0.0343283582089552,0.741935483870968,0.0462686567164179,1.43255554522636,23
"{Main Transition Metal Content (wt. %)_10~} => {Rising Rate (буC min-1)_4~8}",0.0313432835820895,0.67741935483871,0.0462686567164179,1.2749184487133,21
"{Main Transition Metal Content (wt. %)_10~} => {Graphitic N Ratio_0~25}",0.0313432835820895,0.67741935483871,0.0462686567164179,1.19126238252477,21
"{Main Transition Metal Content (wt. %)_10~} => {Electrode Area cm2_~1}",0.0432835820895522,0.935483870967742,0.0462686567164179,1.26877367115058,29
"{Main Transition Metal Content (wt. %)_10~} => {Nafion117}",0.0358208955223881,0.774193548387097,0.0462686567164179,1.04158569762923,24
"{Main Transition Metal Content (wt. %)_10~} => {Glassy Carbon}",0.0388059701492537,0.838709677419355,0.0462686567164179,1.11716795998204,26
"{Main Transition Metal Content (wt. %)_10~} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0388059701492537,0.838709677419355,0.0462686567164179,1.01249636733508,26
"{Main Transition Metal Content (wt. %)_10~} => {Hard or Soft Templated_not}",0.0462686567164179,1,0.0462686567164179,1.16928446771379,31
"{Main Transition Metal Content (wt. %)_10~} => {Biomass or other Organic Derived_not}",0.0447761194029851,0.967741935483871,0.0462686567164179,1.1217769840384,30
"{Main Transition Metal Content (wt. %)_10~} => {Polymer Derived_not}",0.0432835820895522,0.935483870967742,0.0462686567164179,1.05874019180471,29
"{Main Transition Metal Content (wt. %)_10~} => {Carbon Black Derived_not}",0.0447761194029851,0.967741935483871,0.0462686567164179,1.08064516129032,30
"{Main Transition Metal Content (wt. %)_10~} => {H-type Cell}",0.0432835820895522,0.935483870967742,0.0462686567164179,0.976283790573812,29
