"rules","support","confidence","coverage","lift","count"
"{disqualified} => {Rising Rate (¡ãC min-1)_4~8}",0.031055900621118,0.789473684210526,0.0393374741200828,1.43351800554017,15
"{disqualified} => {Graphitic N Ratio_0~25}",0.031055900621118,0.789473684210526,0.0393374741200828,1.33795013850416,15
"{disqualified} => {Nafion117}",0.0351966873706004,0.894736842105263,0.0393374741200828,1.25993555316864,17
"{disqualified} => {Electrode Area cm2_~1}",0.031055900621118,0.789473684210526,0.0393374741200828,1.02504244482173,15
"{disqualified} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.031055900621118,0.789473684210526,0.0393374741200828,0.934597523219814,15
"{disqualified} => {Hard or Soft Templated_not}",0.0393374741200828,1,0.0393374741200828,1.18092909535452,19
"{disqualified} => {Polymer Derived_not}",0.0351966873706004,0.894736842105263,0.0393374741200828,1.02407084060863,17
"{disqualified} => {Carbon Nanofiber/Nanotubes_not}",0.031055900621118,0.789473684210526,0.0393374741200828,0.899329692154916,15
"{disqualified} => {Carbon Black Derived_not}",0.0372670807453416,0.947368421052632,0.0393374741200828,1.0791956305859,18
"{disqualified} => {Biomass or other Organic Derived_not}",0.0351966873706004,0.894736842105263,0.0393374741200828,0.988919667590028,17
"{disqualified} => {H-type Cell}",0.0393374741200828,1,0.0393374741200828,1.06153846153846,19
"{disqualified} => {Oxidized N Ratio_0~25}",0.0393374741200828,1,0.0393374741200828,1.01898734177215,19
"{Zn} => {Acid Wash_not}",0.0331262939958592,0.842105263157895,0.0393374741200828,1.62046550639547,16
"{Zn} => {Electrolyte pH_7~8}",0.031055900621118,0.789473684210526,0.0393374741200828,1.36672325976231,15
"{Zn} => {Graphitic N Ratio_0~25}",0.031055900621118,0.789473684210526,0.0393374741200828,1.33795013850416,15
"{Zn} => {Nafion117}",0.0351966873706004,0.894736842105263,0.0393374741200828,1.25993555316864,17
"{Zn} => {Glassy Carbon}",0.031055900621118,0.789473684210526,0.0393374741200828,1.06811145510836,15
"{Zn} => {Electrode Area cm2_~1}",0.0351966873706004,0.894736842105263,0.0393374741200828,1.16171477079796,17
"{Zn} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.031055900621118,0.789473684210526,0.0393374741200828,0.934597523219814,15
"{Zn} => {Hard or Soft Templated_not}",0.0372670807453416,0.947368421052632,0.0393374741200828,1.11877493244113,18
"{Zn} => {Polymer Derived_not}",0.0372670807453416,0.947368421052632,0.0393374741200828,1.0843103018209,18
"{Zn} => {Carbon Nanofiber/Nanotubes_not}",0.0393374741200828,1,0.0393374741200828,1.13915094339623,19
"{Zn} => {Biomass or other Organic Derived_not}",0.0372670807453416,0.947368421052632,0.0393374741200828,1.04709141274238,18
"{Zn} => {H-type Cell}",0.0393374741200828,1,0.0393374741200828,1.06153846153846,19
"{Zn} => {qualified}",0.0331262939958592,0.842105263157895,0.0393374741200828,0.878481300443333,16
"{Zn} => {Oxidized N Ratio_0~25}",0.0393374741200828,1,0.0393374741200828,1.01898734177215,19
"{Pyrolysis Temperature (¡ãC)_1000~} => {ZIF or MOF Derived_yes}",0.0351966873706004,0.772727272727273,0.0455486542443064,2.62836107554417,17
"{Pyrolysis Temperature (¡ãC)_1000~} => {Pyrolysis Time (h)_~1}",0.0351966873706004,0.772727272727273,0.0455486542443064,2.33267045454545,17
"{Pyrolysis Temperature (¡ãC)_1000~} => {Electrolyte Concentration (M)_0.1}",0.0331262939958592,0.727272727272727,0.0455486542443064,2.15504740658115,16
"{Pyrolysis Temperature (¡ãC)_1000~} => {Electrolyte pH_~7}",0.0331262939958592,0.727272727272727,0.0455486542443064,2.12892561983471,16
"{Pyrolysis Temperature (¡ãC)_1000~} => {Catalyst Loading (mg cm-2)_0.5~1}",0.0372670807453416,0.818181818181818,0.0455486542443064,1.6816247582205,18
"{Pyrolysis Temperature (¡ãC)_1000~} => {Acid Wash_not}",0.0393374741200828,0.863636363636364,0.0455486542443064,1.66189786309308,19
"{Pyrolysis Temperature (¡ãC)_1000~} => {Graphitic N Ratio_0~25}",0.031055900621118,0.681818181818182,0.0455486542443064,1.1555023923445,15
"{Pyrolysis Temperature (¡ãC)_1000~} => {Metal-N Coordination Number (XAS)_3~4}",0.0331262939958592,0.727272727272727,0.0455486542443064,1.04545454545455,16
"{Pyrolysis Temperature (¡ãC)_1000~} => {Nafion117}",0.0351966873706004,0.772727272727273,0.0455486542443064,1.08812615955473,17
"{Pyrolysis Temperature (¡ãC)_1000~} => {Glassy Carbon}",0.031055900621118,0.681818181818182,0.0455486542443064,0.922459893048128,15
"{Pyrolysis Temperature (¡ãC)_1000~} => {Electrode Area cm2_~1}",0.041407867494824,0.909090909090909,0.0455486542443064,1.18035190615836,20
"{Pyrolysis Temperature (¡ãC)_1000~} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0455486542443064,1,0.0455486542443064,1.18382352941176,22
"{Pyrolysis Temperature (¡ãC)_1000~} => {Hard or Soft Templated_not}",0.0455486542443064,1,0.0455486542443064,1.18092909535452,22
"{Pyrolysis Temperature (¡ãC)_1000~} => {Polymer Derived_not}",0.0393374741200828,0.863636363636364,0.0455486542443064,0.988474795346833,19
"{Pyrolysis Temperature (¡ãC)_1000~} => {Carbon Nanofiber/Nanotubes_not}",0.0455486542443064,1,0.0455486542443064,1.13915094339623,22
"{Pyrolysis Temperature (¡ãC)_1000~} => {Carbon Black Derived_not}",0.041407867494824,0.909090909090909,0.0455486542443064,1.03559176672384,20
"{Pyrolysis Temperature (¡ãC)_1000~} => {Biomass or other Organic Derived_not}",0.0455486542443064,1,0.0455486542443064,1.10526315789474,22
"{Pyrolysis Temperature (¡ãC)_1000~} => {H-type Cell}",0.0455486542443064,1,0.0455486542443064,1.06153846153846,22
"{Pyrolysis Temperature (¡ãC)_1000~} => {qualified}",0.0393374741200828,0.863636363636364,0.0455486542443064,0.900942470056941,19
"{Pyrolysis Temperature (¡ãC)_1000~} => {Oxidized N Ratio_0~25}",0.0455486542443064,1,0.0455486542443064,1.01898734177215,22
"{Cu} => {Electrolyte Concentration (M)_0.1}",0.0393374741200828,0.791666666666667,0.0496894409937888,2.34585889570552,19
"{Cu} => {Electrolyte pH_~7}",0.0372670807453416,0.75,0.0496894409937888,2.19545454545455,18
"{Cu} => {Nitrogen Cotent (wt. %)_4~8}",0.031055900621118,0.625,0.0496894409937888,1.40406976744186,15
"{Cu} => {Raman ID/IG Ratio_1~1.2}",0.0331262939958592,0.666666666666667,0.0496894409937888,1.34166666666667,16
"{Cu} => {Pyridinic N Ratio_25~50}",0.031055900621118,0.625,0.0496894409937888,1.15219465648855,15
"{Cu} => {Rising Rate (¡ãC min-1)_4~8}",0.0434782608695652,0.875,0.0496894409937888,1.58881578947368,21
"{Cu} => {Graphitic N Ratio_0~25}",0.0393374741200828,0.791666666666667,0.0496894409937888,1.34166666666667,19
"{Cu} => {Pyrrolic N Ratio_0~25}",0.031055900621118,0.625,0.0496894409937888,0.973790322580645,15
"{Cu} => {Metal-N Coordination Number (XAS)_3~4}",0.0372670807453416,0.75,0.0496894409937888,1.078125,18
"{Cu} => {ZIF or MOF Derived_not}",0.031055900621118,0.625,0.0496894409937888,0.887867647058823,15
"{Cu} => {Nafion117}",0.0331262939958592,0.666666666666667,0.0496894409937888,0.938775510204082,16
"{Cu} => {Glassy Carbon}",0.031055900621118,0.625,0.0496894409937888,0.845588235294118,15
"{Cu} => {Graphene/Carbon Nanosheets or other 2D Structures_not}",0.0331262939958592,0.666666666666667,0.0496894409937888,0.78921568627451,16
"{Cu} => {Hard or Soft Templated_not}",0.0476190476190476,0.958333333333333,0.0496894409937888,1.13172371638142,23
"{Cu} => {Polymer Derived_not}",0.0455486542443064,0.916666666666667,0.0496894409937888,1.04917061611374,22
