iter	Logloss
0	0.692595181
1	0.6921525933
2	0.6915775939
3	0.6911608505
4	0.6906365869
5	0.6902392
6	0.6897476663
7	0.6892650199
8	0.6888725622
9	0.6884820262
10	0.688057157
11	0.6875116728
12	0.6870739921
13	0.6866413108
14	0.6861726262
15	0.6858008556
16	0.6854202889
17	0.6850067048
18	0.6845693761
19	0.6841728421
20	0.6837105874
21	0.6833273108
22	0.6828792227
23	023	0.682225524	024	0.681785125	0.6814178266
26	0.6808629136
27	0.6803529148
28	0.6799539983
29	0.6795512711
30	0.6790050063
31	0.6786453775
32	0.6782296654
33	0.6777259456
34	0.6773519393
35	0.676878352
36	0.6763750365
37	0.6759266894
38	0.6755139013
39	0.6750012249
40	0.6746110138
41	0.6741412304
42	0.6737230915
43	0.6733396761
44	0.6728589399
45	0.6724829267
46	0.6719876669
47	0.6715252811
48	0.6711670929
49	0.6707360445
50	0.6703144675
51	0.6699279921
52	0.6695258297
53	0.6690695024
54	0.6685865426
55	0.6681522301
56	0.6678199687
57	0.6673023445
58	0.6668771448
59	0.6665362073
60	0.6660202178
61	0.6656637696
62	0.6651372882
63	0.6646488851
64	0.6642399331
65	0.6637106745
66	0.6633493571
67	0.6629922292
68	0.6625165955
69	0.6621272613
70	0.6617642662
71	0.661210693
72	0.6608083787
73	0.6603569239
74	0.6598871189
75	0.6595490632
76	0.6591231044
77	0.658752876
78	0.6583045005
79	0.6579090413
80	0.6573965727

81	0.6575632909
82	0.6571834454
83	0.6567572006
84	0.6563844534
85	0.6560303122
86	0.6556298504
87	0.6552400563
88	0.6548725093
89	0.6543809759
90	0.6539859731
91	0.6535873156
92	0.6531477726
93	0.652684666
94	0.6521667922
95	0.6518356262
96	0.6513804168
97	0.6509766073
98	0.6505465404
99	0.6501916374
100	0.6497046965
101	0.6493902395
102	0.6490746934
103	0.6487447505
104	0.6484103608
105	0.6480953118
