iter	Passed	Remaining
0	1	1465
1	2	1350
2	4	1336
3	5	1282
4	6	1247
5	7	1218
6	8	1224
7	9	1224
8	11	1242
9	12	1237
10	13	1218
11	14	1213
12	15	1206
13	17	1203
14	18	1200
15	19	1192
16	20	1185
17	21	1178
18	22	1173
19	23	1167
20	25	1168
21	26	1168
22	27	1161
23	29	1186
24	31	1234
25	34	1294
26	36	1325
27	40	1418
28	42	1430
29	44	1423
30	45	1437
31	48	1461
32	50	1487
33	52	1486
34	54	1501
35	55	1487
36	57	1495
37	59	1499
38	60	1493
39	61	1483
40	63	1492
41	66	1509
42	67	1513
43	69	1510
44	71	1508
45	73	1519
46	75	1528
47	77	1528
48	78	1520
49	80	1522
50	81	1508
51	82	1499
52	83	1488
53	84	1478
54	85	1468
55	86	1461
56	87	1449
57	88	1437
58	89	1425
59	90	1417
60	91	1406
61	92	1394
62	93	1389
63	94	1378
64	95	1367
65	95	1357
66	96	1349
67	97	1340
68	98	1331
69	99	1327
70	101	1325
71	102	1317
72	103	1315
73	104	1307
74	105	1298
75	106	1290
76	107	1283
77	107	1276
78	108	1270
79	109	1264
80	110	1258
0
80	130	1475
81	133	1496
82	135	1496
83	139	1516
84	142	1528
85	143	1528
86	145	1526
87	146	1520
88	149	1525
89	151	1532
90	153	1532
91	155	1537
92	158	1541
93	160	1547
94	161	1542
95	162	1534
96	164	1532
97	166	1532
98	168	1529
99	168	1519
100	170	1518
101	172	1514
102	174	1515
103	176	1517
104	177	1515
105	179	1511
